gene	kog
Amillepora17091	Amino acid transport and metabolism
Amillepora17083	Replication, recombination and repair
Amillepora17081	Function Unknown
Amillepora17089	Cell cycle control, cell division, chromosome partitioning
Amillepora17090	Chromatin structure and dynamics
Amillepora17085	Function Unknown
Amillepora17100	Amino acid transport and metabolism
Amillepora17101	Amino acid transport and metabolism
Amillepora17096	Function Unknown
Amillepora17095	Intracellular trafficking, secretion, and vesicular transport
Amillepora17097	Carbohydrate transport and metabolism
Amillepora17106	Carbohydrate transport and metabolism
Amillepora17110	Transcription
Amillepora17103	Amino acid transport and metabolism
Amillepora17105	Carbohydrate transport and metabolism
Amillepora17102	Cell cycle control, cell division, chromosome partitioning
Amillepora17114	Signal transduction mechanisms
Amillepora17113	Function Unknown
Amillepora17112	Function Unknown
Amillepora17120	Replication, recombination and repair
Amillepora17133	Function Unknown
Amillepora17130	Function Unknown
Amillepora17129	Function Unknown
Amillepora17131	Function Unknown
Amillepora17127	Function Unknown
Amillepora17124	Function Unknown
Amillepora17123	Function Unknown
Amillepora17122	Function Unknown
Amillepora17128	Function Unknown
Amillepora17132	Function Unknown
Amillepora17139	Function Unknown
Amillepora17135	Function Unknown
Amillepora17140	Carbohydrate transport and metabolism
Amillepora17137	Function Unknown
Amillepora17146	Translation, ribosomal structure and biogenesis
Amillepora17144	Function Unknown
Amillepora17143	Function Unknown
Amillepora17141	Posttranslational modification, protein turnover, chaperones
Amillepora17142	Nucleotide transport and metabolism
Amillepora17142	Signal transduction mechanisms
Amillepora17147	RNA processing and modification
Amillepora17153	Signal transduction mechanisms
Amillepora17150	Signal transduction mechanisms
Amillepora17159	Nucleotide transport and metabolism
Amillepora17159	Translation, ribosomal structure and biogenesis
Amillepora17158	Nucleotide transport and metabolism
Amillepora17158	Translation, ribosomal structure and biogenesis
Amillepora17186	Function Unknown
Amillepora17162	Function Unknown
Amillepora17188	Function Unknown
Amillepora17189	Function Unknown
Amillepora17197	Replication, recombination and repair
Amillepora17190	Function Unknown
Amillepora17198	Function Unknown
Amillepora17192	Function Unknown
Amillepora17200	Replication, recombination and repair
Amillepora17199	Inorganic ion transport and metabolism
Amillepora17199	Signal transduction mechanisms
Amillepora17207	Function Unknown
Amillepora17203	Function Unknown
Amillepora17209	Function Unknown
Amillepora17210	Function Unknown
Amillepora17211	Function Unknown
Amillepora17208	Nucleotide transport and metabolism
Amillepora17212	Signal transduction mechanisms
Amillepora17218	Function Unknown
Amillepora17219	Function Unknown
Amillepora17217	Function Unknown
Amillepora17225	Function Unknown
Amillepora17228	Function Unknown
Amillepora17224	Carbohydrate transport and metabolism
Amillepora17234	Replication, recombination and repair
Amillepora17233	Function Unknown
Amillepora17231	Function Unknown
Amillepora17229	Inorganic ion transport and metabolism
Amillepora17229	Signal transduction mechanisms
Amillepora17230	Function Unknown
Amillepora17235	Signal transduction mechanisms
Amillepora17241	Function Unknown
Amillepora17237	Function Unknown
Amillepora17242	Function Unknown
Amillepora17250	Replication, recombination and repair
Amillepora17254	Function Unknown
Amillepora17252	Function Unknown
Amillepora17261	Function Unknown
Amillepora17259	Function Unknown
Amillepora17260	Function Unknown
Amillepora17262	Replication, recombination and repair
Amillepora17263	Function Unknown
Amillepora17270	Carbohydrate transport and metabolism
Amillepora17278	Posttranslational modification, protein turnover, chaperones
Amillepora17273	Posttranslational modification, protein turnover, chaperones
Amillepora17276	Function Unknown
Amillepora17275	Function Unknown
Amillepora17280	Function Unknown
Amillepora17281	Function Unknown
Amillepora17288	Carbohydrate transport and metabolism
Amillepora17287	Function Unknown
Amillepora17293	Replication, recombination and repair
Amillepora17295	Function Unknown
Amillepora17294	Transcription
Amillepora17301	Function Unknown
Amillepora17311	Function Unknown
Amillepora17316	Function Unknown
Amillepora17319	Amino acid transport and metabolism
Amillepora17313	Cell cycle control, cell division, chromosome partitioning
Amillepora17320	Function Unknown
Amillepora17322	RNA processing and modification
Amillepora17323	Function Unknown
Amillepora17325	Secondary metabolites biosynthesis, transport and catabolism
Amillepora17333	Function Unknown
Amillepora17330	Inorganic ion transport and metabolism
Amillepora17330	Signal transduction mechanisms
Amillepora17334	Function Unknown
Amillepora17340	Function Unknown
Amillepora17341	Carbohydrate transport and metabolism
Amillepora17342	Carbohydrate transport and metabolism
Amillepora17366	Function Unknown
Amillepora17363	Signal transduction mechanisms
Amillepora17362	Function Unknown
Amillepora17373	Function Unknown
Amillepora17370	Function Unknown
Amillepora17369	Function Unknown
Amillepora17374	Function Unknown
Amillepora17378	Replication, recombination and repair
Amillepora17379	Function Unknown
Amillepora17383	Function Unknown
Amillepora17387	Function Unknown
Amillepora17392	Function Unknown
Amillepora17393	Function Unknown
Amillepora17395	Replication, recombination and repair
Amillepora17400	Signal transduction mechanisms
Amillepora17402	Carbohydrate transport and metabolism
Amillepora17396	Replication, recombination and repair
Amillepora17403	Function Unknown
Amillepora17399	Replication, recombination and repair
Amillepora17398	Signal transduction mechanisms
Amillepora17401	Function Unknown
Amillepora17405	Function Unknown
Amillepora17463	Carbohydrate transport and metabolism
Amillepora17418	Function Unknown
Amillepora17472	Function Unknown
Amillepora17419	Function Unknown
Amillepora17483	Carbohydrate transport and metabolism
Amillepora17482	Carbohydrate transport and metabolism
Amillepora17477	Function Unknown
Amillepora17478	Replication, recombination and repair
Amillepora17499	Function Unknown
Amillepora17498	Function Unknown
Amillepora17493	Function Unknown
Amillepora17504	Function Unknown
Amillepora17506	Function Unknown
Amillepora17505	Signal transduction mechanisms
Amillepora17507	Carbohydrate transport and metabolism
Amillepora17500	Posttranslational modification, protein turnover, chaperones
Amillepora17577	Function Unknown
Amillepora17587	Function Unknown
Amillepora17590	Function Unknown
Amillepora17606	Replication, recombination and repair
Amillepora17602	Function Unknown
Amillepora17603	Replication, recombination and repair
Amillepora17610	Function Unknown
Amillepora17616	Function Unknown
Amillepora17612	Function Unknown
Amillepora17690	Function Unknown
Amillepora17695	Replication, recombination and repair
Amillepora17702	Signal transduction mechanisms
Amillepora17696	Function Unknown
Amillepora17697	Function Unknown
Amillepora17706	Signal transduction mechanisms
Amillepora17714	Function Unknown
Amillepora17711	Function Unknown
Amillepora17715	Function Unknown
Amillepora17725	Function Unknown
Amillepora17723	Posttranslational modification, protein turnover, chaperones
Amillepora17721	Function Unknown
Amillepora17726	Carbohydrate transport and metabolism
Amillepora17724	Function Unknown
Amillepora17720	Function Unknown
Amillepora17727	Amino acid transport and metabolism
Amillepora17731	Inorganic ion transport and metabolism
Amillepora17731	Signal transduction mechanisms
Amillepora17729	Signal transduction mechanisms
Amillepora17745	Function Unknown
Amillepora17743	Inorganic ion transport and metabolism
Amillepora17743	Signal transduction mechanisms
Amillepora17738	Function Unknown
Amillepora17742	Function Unknown
Amillepora17746	Function Unknown
Amillepora17740	Function Unknown
Amillepora17739	Function Unknown
Amillepora17744	Function Unknown
Amillepora17753	Function Unknown
Amillepora17754	Function Unknown
Amillepora17749	Function Unknown
Amillepora17756	Function Unknown
Amillepora17755	Function Unknown
Amillepora17757	Cytoskeleton
Amillepora17766	Signal transduction mechanisms
Amillepora17764	Replication, recombination and repair
Amillepora17769	Function Unknown
Amillepora17771	Function Unknown
Amillepora17773	Function Unknown
Amillepora17767	Replication, recombination and repair
Amillepora17770	Posttranslational modification, protein turnover, chaperones
Amillepora17783	RNA processing and modification
Amillepora17780	Function Unknown
Amillepora17792	Function Unknown
Amillepora17791	Function Unknown
Amillepora17790	Function Unknown
Amillepora17795	Replication, recombination and repair
Amillepora17793	Replication, recombination and repair
Amillepora17787	Transcription
Amillepora17788	Function Unknown
Amillepora17797	Function Unknown
Amillepora17799	Cell cycle control, cell division, chromosome partitioning
Amillepora17798	Function Unknown
Amillepora17803	Function Unknown
Amillepora17801	Replication, recombination and repair
Amillepora17814	Posttranslational modification, protein turnover, chaperones
Amillepora17816	Inorganic ion transport and metabolism
Amillepora17815	Signal transduction mechanisms
Amillepora17812	Carbohydrate transport and metabolism
Amillepora17822	Function Unknown
Amillepora17819	Function Unknown
Amillepora17824	Function Unknown
Amillepora17821	Function Unknown
Amillepora17820	Function Unknown
Amillepora17825	Carbohydrate transport and metabolism
Amillepora17827	Function Unknown
Amillepora17826	Function Unknown
Amillepora17828	Cell cycle control, cell division, chromosome partitioning
Amillepora17833	Cell cycle control, cell division, chromosome partitioning
Amillepora17835	Cell cycle control, cell division, chromosome partitioning
Amillepora17832	Cell cycle control, cell division, chromosome partitioning
Amillepora17837	Function Unknown
Amillepora17839	Function Unknown
Amillepora17829	Carbohydrate transport and metabolism
Amillepora17840	Cell cycle control, cell division, chromosome partitioning
Amillepora17847	Replication, recombination and repair
Amillepora17845	Function Unknown
Amillepora17843	Cell cycle control, cell division, chromosome partitioning
Amillepora17852	Carbohydrate transport and metabolism
Amillepora17855	Carbohydrate transport and metabolism
Amillepora17854	Carbohydrate transport and metabolism
Amillepora17860	Posttranslational modification, protein turnover, chaperones
Amillepora17864	Posttranslational modification, protein turnover, chaperones
Amillepora17870	RNA processing and modification
Amillepora17865	Replication, recombination and repair
Amillepora17868	Inorganic ion transport and metabolism
Amillepora17872	Function Unknown
Amillepora17873	Function Unknown
Amillepora17882	RNA processing and modification
Amillepora17875	Function Unknown
Amillepora17887	Lipid transport and metabolism
Amillepora17890	Coenzyme transport and metabolism
Amillepora17891	Function Unknown
Amillepora17893	Posttranslational modification, protein turnover, chaperones
Amillepora17895	Function Unknown
Amillepora17894	Function Unknown
Amillepora17919	Transcription
Amillepora17918	Function Unknown
Amillepora17914	Function Unknown
Amillepora17899	Function Unknown
Amillepora17906	Function Unknown
Amillepora17904	Function Unknown
Amillepora17912	Function Unknown
Amillepora17901	Function Unknown
Amillepora17909	Function Unknown
Amillepora17910	Function Unknown
Amillepora17920	Secondary metabolites biosynthesis, transport and catabolism
Amillepora17917	Function Unknown
Amillepora17905	Function Unknown
Amillepora17921	Intracellular trafficking, secretion, and vesicular transport
Amillepora17928	Transcription
Amillepora17925	Transcription
Amillepora17923	Inorganic ion transport and metabolism
Amillepora17927	Transcription
Amillepora17932	Signal transduction mechanisms
Amillepora17930	Signal transduction mechanisms
Amillepora17933	Signal transduction mechanisms
Amillepora17935	Function Unknown
Amillepora17929	Signal transduction mechanisms
Amillepora17939	Function Unknown
Amillepora17936	Signal transduction mechanisms
Amillepora17937	Signal transduction mechanisms
Amillepora17938	Signal transduction mechanisms
Amillepora17946	Function Unknown
Amillepora17943	Signal transduction mechanisms
Amillepora17944	Extracellular structures
Amillepora17945	Transcription
Amillepora17950	Defense mechanisms
Amillepora17951	Signal transduction mechanisms
Amillepora17947	Replication, recombination and repair
Amillepora17959	Function Unknown
Amillepora17953	Signal transduction mechanisms
Amillepora17954	Cytoskeleton
Amillepora17957	Function Unknown
Amillepora17958	Cell cycle control, cell division, chromosome partitioning
Amillepora17958	Replication, recombination and repair
Amillepora17960	Carbohydrate transport and metabolism
Amillepora17966	Replication, recombination and repair
Amillepora17963	Signal transduction mechanisms
Amillepora17969	RNA processing and modification
Amillepora17964	Replication, recombination and repair
Amillepora17967	Signal transduction mechanisms
Amillepora17974	Function Unknown
Amillepora17975	Posttranslational modification, protein turnover, chaperones
Amillepora17972	Function Unknown
Amillepora17970	Function Unknown
Amillepora17976	Function Unknown
Amillepora17990	Nucleotide transport and metabolism
Amillepora17985	Signal transduction mechanisms
Amillepora17994	Lipid transport and metabolism
Amillepora17998	Posttranslational modification, protein turnover, chaperones
Amillepora17996	Lipid transport and metabolism
Amillepora17996	Signal transduction mechanisms
Amillepora17999	Function Unknown
Amillepora17995	Lipid transport and metabolism
Amillepora18007	Signal transduction mechanisms
Amillepora18008	Signal transduction mechanisms
Amillepora18011	Cytoskeleton
Amillepora18010	Signal transduction mechanisms
Amillepora18012	Intracellular trafficking, secretion, and vesicular transport
Amillepora18013	Function Unknown
Amillepora18018	Function Unknown
Amillepora18016	Function Unknown
Amillepora18023	Function Unknown
Amillepora18022	Function Unknown
Amillepora18020	Function Unknown
Amillepora18021	Function Unknown
Amillepora18019	Function Unknown
Amillepora18029	Function Unknown
Amillepora18027	Function Unknown
Amillepora18031	Function Unknown
Amillepora18039	Replication, recombination and repair
Amillepora18034	Signal transduction mechanisms
Amillepora18037	Signal transduction mechanisms
Amillepora18035	Signal transduction mechanisms
Amillepora18038	Function Unknown
Amillepora18046	Signal transduction mechanisms
Amillepora18044	Function Unknown
Amillepora18042	Function Unknown
Amillepora18043	Signal transduction mechanisms
Amillepora18055	Signal transduction mechanisms
Amillepora18051	Signal transduction mechanisms
Amillepora18057	Function Unknown
Amillepora18064	Intracellular trafficking, secretion, and vesicular transport
Amillepora18067	Inorganic ion transport and metabolism
Amillepora18067	Signal transduction mechanisms
Amillepora18065	Replication, recombination and repair
Amillepora18060	Signal transduction mechanisms
Amillepora18066	Inorganic ion transport and metabolism
Amillepora18066	Signal transduction mechanisms
Amillepora18068	Signal transduction mechanisms
Amillepora18076	Transcription
Amillepora18075	RNA processing and modification
Amillepora18074	Function Unknown
Amillepora18081	Amino acid transport and metabolism
Amillepora18072	Transcription
Amillepora18082	Function Unknown
Amillepora18078	Function Unknown
Amillepora18077	Chromatin structure and dynamics
Amillepora18077	Cell cycle control, cell division, chromosome partitioning
Amillepora18070	Energy production and conversion
Amillepora18085	Signal transduction mechanisms
Amillepora18083	Function Unknown
Amillepora18087	Function Unknown
Amillepora18088	Function Unknown
Amillepora18089	Function Unknown
Amillepora18099	Function Unknown
Amillepora18100	Function Unknown
Amillepora18097	Carbohydrate transport and metabolism
Amillepora18104	Nucleotide transport and metabolism
Amillepora18107	Inorganic ion transport and metabolism
Amillepora18107	Signal transduction mechanisms
Amillepora18108	Nucleotide transport and metabolism
Amillepora18111	Nucleotide transport and metabolism
Amillepora18106	Nucleotide transport and metabolism
Amillepora18110	Nucleotide transport and metabolism
Amillepora18105	Nucleotide transport and metabolism
Amillepora18115	Replication, recombination and repair
Amillepora18112	Function Unknown
Amillepora18116	Function Unknown
Amillepora18119	Function Unknown
Amillepora18120	Replication, recombination and repair
Amillepora18124	Signal transduction mechanisms
Amillepora18125	Transcription
Amillepora18122	Inorganic ion transport and metabolism
Amillepora18122	Signal transduction mechanisms
Amillepora18123	Inorganic ion transport and metabolism
Amillepora18123	Signal transduction mechanisms
Amillepora18133	Signal transduction mechanisms
Amillepora18135	Lipid transport and metabolism
Amillepora18126	Function Unknown
Amillepora18127	Carbohydrate transport and metabolism
Amillepora18131	Translation, ribosomal structure and biogenesis
Amillepora18134	Transcription
Amillepora18128	Chromatin structure and dynamics
Amillepora18137	Intracellular trafficking, secretion, and vesicular transport
Amillepora18136	Signal transduction mechanisms
Amillepora18136	Defense mechanisms
Amillepora18139	Signal transduction mechanisms
Amillepora18139	Defense mechanisms
Amillepora18143	Signal transduction mechanisms
Amillepora18143	Defense mechanisms
Amillepora18142	Intracellular trafficking, secretion, and vesicular transport
Amillepora18140	Function Unknown
Amillepora18154	Signal transduction mechanisms
Amillepora18150	Function Unknown
Amillepora18151	Cytoskeleton
Amillepora18152	Signal transduction mechanisms
Amillepora18148	Posttranslational modification, protein turnover, chaperones
Amillepora18145	Intracellular trafficking, secretion, and vesicular transport
Amillepora18144	Signal transduction mechanisms
Amillepora18144	Defense mechanisms
Amillepora18146	Signal transduction mechanisms
Amillepora18146	Defense mechanisms
Amillepora18166	Function Unknown
Amillepora18162	Lipid transport and metabolism
Amillepora18165	Function Unknown
Amillepora18159	Amino acid transport and metabolism
Amillepora18157	Function Unknown
Amillepora18164	Cell wall/membrane/envelope biogenesis
Amillepora18169	Signal transduction mechanisms
Amillepora18167	Energy production and conversion
Amillepora18168	Signal transduction mechanisms
Amillepora18172	Signal transduction mechanisms
Amillepora18179	Function Unknown
Amillepora18183	Amino acid transport and metabolism
Amillepora18176	Function Unknown
Amillepora18182	Function Unknown
Amillepora18175	Amino acid transport and metabolism
Amillepora18189	Transcription
Amillepora18186	Carbohydrate transport and metabolism
Amillepora18190	Function Unknown
Amillepora18188	Posttranslational modification, protein turnover, chaperones
Amillepora18185	Signal transduction mechanisms
Amillepora18195	Amino acid transport and metabolism
Amillepora18196	Function Unknown
Amillepora18194	RNA processing and modification
Amillepora18191	RNA processing and modification
Amillepora18199	Function Unknown
Amillepora18200	Function Unknown
Amillepora18201	Function Unknown
Amillepora18198	Function Unknown
Amillepora18211	Function Unknown
Amillepora18208	Function Unknown
Amillepora18210	Function Unknown
Amillepora18205	Function Unknown
Amillepora18203	Function Unknown
Amillepora18209	Function Unknown
Amillepora18204	Function Unknown
Amillepora18207	Extracellular structures
Amillepora18238	Function Unknown
Amillepora18240	Function Unknown
Amillepora18239	Signal transduction mechanisms
Amillepora18239	Defense mechanisms
Amillepora18212	Function Unknown
Amillepora18213	Function Unknown
Amillepora18242	Function Unknown
Amillepora18220	Function Unknown
Amillepora18214	Signal transduction mechanisms
Amillepora18214	Defense mechanisms
Amillepora18219	Function Unknown
Amillepora18221	Function Unknown
Amillepora18243	Function Unknown
Amillepora18241	Function Unknown
Amillepora18247	Signal transduction mechanisms
Amillepora18245	Signal transduction mechanisms
Amillepora18244	Function Unknown
Amillepora18258	Inorganic ion transport and metabolism
Amillepora18254	Inorganic ion transport and metabolism
Amillepora18259	Cytoskeleton
Amillepora18249	Posttranslational modification, protein turnover, chaperones
Amillepora18248	Cytoskeleton
Amillepora18256	Inorganic ion transport and metabolism
Amillepora18261	Function Unknown
Amillepora18260	Signal transduction mechanisms
Amillepora18269	Function Unknown
Amillepora18267	Function Unknown
Amillepora18278	Replication, recombination and repair
Amillepora18276	Function Unknown
Amillepora18275	Function Unknown
Amillepora18277	Function Unknown
Amillepora18285	Function Unknown
Amillepora18293	Signal transduction mechanisms
Amillepora18292	Function Unknown
Amillepora18313	Function Unknown
Amillepora18324	Amino acid transport and metabolism
Amillepora18319	Posttranslational modification, protein turnover, chaperones
Amillepora18320	Posttranslational modification, protein turnover, chaperones
Amillepora18329	Posttranslational modification, protein turnover, chaperones
Amillepora18327	Amino acid transport and metabolism
Amillepora18328	Posttranslational modification, protein turnover, chaperones
Amillepora18331	Lipid transport and metabolism
Amillepora18334	Posttranslational modification, protein turnover, chaperones
Amillepora18335	Amino acid transport and metabolism
Amillepora18349	Function Unknown
Amillepora18348	Intracellular trafficking, secretion, and vesicular transport
Amillepora18353	RNA processing and modification
Amillepora18357	Carbohydrate transport and metabolism
Amillepora18356	Carbohydrate transport and metabolism
Amillepora18351	Intracellular trafficking, secretion, and vesicular transport
Amillepora18352	Function Unknown
Amillepora18350	Intracellular trafficking, secretion, and vesicular transport
Amillepora18360	Carbohydrate transport and metabolism
Amillepora18365	Carbohydrate transport and metabolism
Amillepora18361	Carbohydrate transport and metabolism
Amillepora18358	Function Unknown
Amillepora18363	Carbohydrate transport and metabolism
Amillepora18362	Carbohydrate transport and metabolism
Amillepora18378	Carbohydrate transport and metabolism
Amillepora18372	Carbohydrate transport and metabolism
Amillepora18371	Carbohydrate transport and metabolism
Amillepora18368	Carbohydrate transport and metabolism
Amillepora18375	Carbohydrate transport and metabolism
Amillepora18367	Replication, recombination and repair
Amillepora18370	Carbohydrate transport and metabolism
Amillepora18366	Replication, recombination and repair
Amillepora18376	Carbohydrate transport and metabolism
Amillepora18373	Carbohydrate transport and metabolism
Amillepora18383	Carbohydrate transport and metabolism
Amillepora18380	Carbohydrate transport and metabolism
Amillepora18381	Carbohydrate transport and metabolism
Amillepora18379	Carbohydrate transport and metabolism
Amillepora18385	Carbohydrate transport and metabolism
Amillepora18389	Carbohydrate transport and metabolism
Amillepora18388	Carbohydrate transport and metabolism
Amillepora18387	Carbohydrate transport and metabolism
Amillepora18382	Carbohydrate transport and metabolism
Amillepora18384	Carbohydrate transport and metabolism
Amillepora18398	Posttranslational modification, protein turnover, chaperones
Amillepora18392	Carbohydrate transport and metabolism
Amillepora18395	Signal transduction mechanisms
Amillepora18390	Function Unknown
Amillepora18393	Carbohydrate transport and metabolism
Amillepora18404	Inorganic ion transport and metabolism
Amillepora18401	Cytoskeleton
Amillepora18406	Inorganic ion transport and metabolism
Amillepora18400	Cell wall/membrane/envelope biogenesis
Amillepora18412	Inorganic ion transport and metabolism
Amillepora18417	Cell cycle control, cell division, chromosome partitioning
Amillepora18415	Cell cycle control, cell division, chromosome partitioning
