Amillepora18404	P
Amillepora18401	Z
Amillepora18406	P
Amillepora18400	M
Amillepora18412	P
Amillepora18417	D
Amillepora18415	D
Amillepora18422	D
Amillepora18420	D
Amillepora18434	U
Amillepora18438	T
Amillepora18436	T
Amillepora18433	U
Amillepora18437	A
Amillepora18444	C
Amillepora18442	U
Amillepora18440	F
Amillepora18443	K
Amillepora18450	B
Amillepora18457	I
Amillepora18452	P
Amillepora18455	K
Amillepora18449	P
Amillepora18453	O
Amillepora18447	T
Amillepora18458	G
Amillepora18462	A
Amillepora18477	T
Amillepora18476	T
Amillepora18486	T
Amillepora18484	U
Amillepora18489	C
Amillepora18482	U
Amillepora18487	K
Amillepora18481	T
Amillepora18506	P
Amillepora18491	U
Amillepora18498	G
Amillepora18501	O
Amillepora18492	A
Amillepora18499	O
Amillepora18514	C
Amillepora18508	O
Amillepora18507	O
Amillepora18524	K
Amillepora18527	P
Amillepora18526	P
Amillepora18529	A
Amillepora18530	A
Amillepora18531	A
Amillepora18536	T
Amillepora18537	I
Amillepora18538	T
Amillepora18543	U
Amillepora18539	T
Amillepora18541	Z
Amillepora18550	T
Amillepora18556	G
Amillepora18558	W
Amillepora18572	W
Amillepora18581	W
Amillepora18576	W
Amillepora18593	K
Amillepora18611	L
Amillepora18627	G
Amillepora18628	L
Amillepora18629	L
Amillepora26276	K
Amillepora26277	K
Amillepora26279	T
Amillepora26281	T
Amillepora26280	T
Amillepora26259	Z
Amillepora26271	Z
Amillepora26261	Z
Amillepora26266	Z
Amillepora26263	Z
Amillepora26272	K
Amillepora26290	H
Amillepora26283	P
Amillepora26282	P
Amillepora26292	T
Amillepora26295	T
Amillepora26291	U
Amillepora26294	U
Amillepora26297	Z
Amillepora26299	T
Amillepora26298	E
Amillepora26329	J
Amillepora26327	L
Amillepora26325	O
Amillepora26337	K
Amillepora26352	O
Amillepora26384	V
Amillepora26407	T
Amillepora26425	L
Amillepora26434	L
Amillepora26431	L
Amillepora26442	L
Amillepora26453	K
Amillepora26436	L
Amillepora26467	L
Amillepora26474	B
Amillepora26478	B
Amillepora26477	A
Amillepora26480	O
Amillepora26476	O
Amillepora26485	L
Amillepora26482	W
Amillepora26497	L
Amillepora26512	T
Amillepora26521	Z
Amillepora26517	U
Amillepora26516	O
Amillepora26519	O
Amillepora26529	Z
Amillepora26531	K
Amillepora26541	O
Amillepora26537	Z
Amillepora26539	O
Amillepora26544	K
Amillepora26532	U
Amillepora26543	P
Amillepora26545	K
Amillepora26536	U
Amillepora26540	I
Amillepora26538	O
Amillepora26551	K
Amillepora26546	J
Amillepora26547	K
Amillepora26552	U
Amillepora26557	T
Amillepora26555	T
Amillepora26554	T
Amillepora26559	T
Amillepora26566	U
Amillepora26562	T
Amillepora26565	T
Amillepora26567	O
Amillepora26568	O
Amillepora26570	Z
Amillepora26581	K
Amillepora26577	K
Amillepora26580	K
Amillepora26578	K
Amillepora26579	K
Amillepora26574	A
Amillepora26588	U
Amillepora26583	K
Amillepora26584	P
Amillepora26596	U
Amillepora26594	C
Amillepora26593	L
Amillepora26602	E
Amillepora26601	K
Amillepora26603	T
Amillepora26600	T
Amillepora26607	Q
Amillepora26609	T
Amillepora26610	C
Amillepora26606	I
Amillepora26614	T
Amillepora26620	A
Amillepora26618	O
Amillepora26619	U
Amillepora26617	J
Amillepora26623	I
Amillepora26625	I
Amillepora26631	Q
Amillepora26634	J
Amillepora26635	K
Amillepora26640	F
Amillepora26637	U
Amillepora26654	F
Amillepora26649	G
Amillepora26645	T
Amillepora26661	A
Amillepora26657	T
Amillepora26666	A
Amillepora26677	J
Amillepora26693	F
Amillepora26695	T
Amillepora26692	T
Amillepora26699	T
Amillepora26700	T
Amillepora26697	T
Amillepora26698	T
Amillepora26696	T
Amillepora26707	L
Amillepora26706	L
Amillepora26704	L
Amillepora26712	G
Amillepora26715	H
Amillepora26713	H
Amillepora26716	T
Amillepora26719	T
Amillepora26739	G
Amillepora26732	P
Amillepora26742	T
Amillepora26746	L
Amillepora26745	L
Amillepora26744	L
Amillepora26752	O
Amillepora26753	T
Amillepora26764	K
Amillepora26762	T
Amillepora26770	L
Amillepora26774	G
Amillepora26771	L
Amillepora26769	L
Amillepora26778	Z
Amillepora26777	U
Amillepora26790	G
Amillepora26791	G
Amillepora26789	G
Amillepora26786	T
Amillepora26783	T
Amillepora26784	T
Amillepora26785	T
Amillepora26804	G
Amillepora26798	T
Amillepora26793	T
Amillepora26795	T
Amillepora26794	T
Amillepora26796	T
Amillepora26797	T
Amillepora26800	Z
Amillepora26808	I
Amillepora26807	Z
Amillepora26806	K
Amillepora26809	T
Amillepora26817	G
Amillepora26813	L
Amillepora26812	D
Amillepora26816	T
Amillepora26814	T
Amillepora26824	E
Amillepora26827	O
Amillepora26832	U
Amillepora26828	E
Amillepora26825	U
Amillepora26826	O
Amillepora26829	T
Amillepora26830	T
Amillepora26838	T
Amillepora26835	O
Amillepora26834	O
Amillepora26839	K
Amillepora26843	K
Amillepora26841	M
Amillepora26840	T
Amillepora26850	P
Amillepora26849	K
Amillepora26857	O
Amillepora26858	O
Amillepora26860	T
Amillepora26865	K
Amillepora26864	T
Amillepora26872	O
Amillepora26866	P
Amillepora26873	O
Amillepora26875	T
Amillepora26879	T
Amillepora26891	T
Amillepora26893	A
Amillepora26897	Z
Amillepora26899	L
Amillepora26911	O
Amillepora26915	I
Amillepora26928	K
Amillepora26943	B
Amillepora26968	T
Amillepora26985	C
Amillepora26986	U
Amillepora27006	T
Amillepora27007	T
Amillepora27010	T
Amillepora27012	T
Amillepora27027	A
Amillepora27025	H
Amillepora27020	G
Amillepora27023	T
Amillepora27018	T
Amillepora27022	T
Amillepora27036	T
Amillepora27042	T
Amillepora27031	T
Amillepora27059	T
Amillepora27049	T
Amillepora27065	L
Amillepora27063	T
Amillepora27064	T
Amillepora27067	L
Amillepora27074	A
Amillepora27073	T
Amillepora27075	O
Amillepora27077	O
Amillepora27076	O
Amillepora27081	O
Amillepora27089	O
Amillepora27083	O
Amillepora27088	O
Amillepora27087	O
Amillepora27134	K
Amillepora27165	L
Amillepora27148	G
Amillepora27170	G
Amillepora27179	T
Amillepora27185	L
Amillepora27187	O
Amillepora27193	L
Amillepora27190	T
Amillepora27194	T
Amillepora27197	O
Amillepora27201	T
Amillepora27200	T
Amillepora27205	T
Amillepora27203	T
Amillepora27202	T
Amillepora27204	T
Amillepora27206	L
Amillepora27209	H
Amillepora27210	T
Amillepora27208	K
Amillepora27214	K
Amillepora27215	B
Amillepora27218	J
Amillepora27217	D
Amillepora27223	E
Amillepora27221	K
Amillepora27220	O
Amillepora27224	F
Amillepora27222	D
Amillepora27226	K
Amillepora27229	L
Amillepora27232	O
Amillepora27228	T
Amillepora27227	T
Amillepora27233	T
Amillepora27242	O
Amillepora27241	T
Amillepora27247	Z
Amillepora27246	T
Amillepora27248	T
Amillepora27251	T
Amillepora27261	T
Amillepora27258	O
Amillepora27265	U
Amillepora27264	A
Amillepora27263	C
Amillepora27267	T
Amillepora27271	A
Amillepora27274	L
Amillepora27277	G
Amillepora27278	G
Amillepora27299	T
Amillepora27303	O
Amillepora27306	U
Amillepora27308	K
Amillepora27321	C
Amillepora27322	O
Amillepora27318	A
Amillepora27317	J
Amillepora27323	O
Amillepora27327	O
Amillepora27331	O
Amillepora27328	Z
Amillepora27336	D
Amillepora27329	I
Amillepora27332	D
Amillepora27341	A
Amillepora27338	U
Amillepora27349	T
Amillepora27354	T
Amillepora27350	O
Amillepora27345	M
Amillepora27352	N
Amillepora27353	A
Amillepora27355	P
Amillepora27359	T
Amillepora27366	U
Amillepora27358	O
Amillepora27373	E
Amillepora27377	O
Amillepora27376	T
Amillepora27369	U
Amillepora27372	O
Amillepora27368	O
Amillepora27380	Q
Amillepora27378	T
Amillepora27382	T
Amillepora27379	T
Amillepora27383	T
Amillepora27396	K
Amillepora27400	T
Amillepora27399	T
Amillepora27402	P
Amillepora27401	T
Amillepora27411	O
Amillepora27406	K
Amillepora27407	T
Amillepora27405	O
Amillepora27408	U
Amillepora27417	I
Amillepora27413	F
Amillepora27415	U
Amillepora27416	K
Amillepora27425	G
Amillepora27436	A
Amillepora27427	G
Amillepora27428	K
Amillepora27431	O
Amillepora27447	K
Amillepora27438	K
Amillepora27446	K
Amillepora27442	U
Amillepora27445	K
Amillepora27448	K
Amillepora27449	K
Amillepora27456	G
Amillepora27452	K
Amillepora27466	G
Amillepora27462	G
Amillepora27463	G
Amillepora27464	G
Amillepora27460	T
Amillepora27469	T
Amillepora27473	T
Amillepora27472	Z
Amillepora27468	G
