Run	Bioproject	LibraryLayout	rawCounts	trimmedCounts	predupMapped	dedupMapped	geneCounted
s169_S203	This study	SINGLE	2135972	2120024	1660254	747844	453960
s17_S55	This study	SINGLE	2060292	2044141	1629569	811821	489364
s170_S204	This study	SINGLE	2012780	1997020	1579438	728405	442077
s171_S205	This study	SINGLE	2521670	2503371	2017871	911515	563635
s172_S206	This study	SINGLE	1803808	1790946	1313020	650160	398131
s173_S207	This study	SINGLE	1478201	1466551	1131274	591140	363707
s176_S208	This study	SINGLE	1743188	1730457	1400137	724512	454464
s177_S209	This study	SINGLE	1420446	1409607	1144248	557286	344683
s18_S56	This study	SINGLE	1975303	1959931	1560531	774179	466522
s181_S210	This study	SINGLE	1894762	1880423	1368217	678370	405127
s182_S211	This study	SINGLE	1875454	1860420	1463207	739036	444202
s183_S212	This study	SINGLE	1692380	1680152	1280520	639686	381703
s19_S57	This study	SINGLE	1846821	1832112	1416863	604236	367073
s190_S213	This study	SINGLE	1621789	1609753	1311532	673075	408168
s191_S214	This study	SINGLE	1905981	1891898	1535871	702435	426308
s192_S215	This study	SINGLE	1555424	1542898	1247311	502800	294560
s2_S40	This study	SINGLE	1593332	1580637	1225771	644997	387500
s20_S58	This study	SINGLE	1968296	1951180	1424571	529869	317955
s21_S59	This study	SINGLE	1834892	1818576	1434198	582016	350812
s22_S60	This study	SINGLE	2017665	2000967	1667857	708146	436073
s23_S61	This study	SINGLE	1974437	1959883	1610070	760835	475976
s24_S62	This study	SINGLE	2302343	2285238	1786857	792171	490887
s25_S63	This study	SINGLE	2194923	2178103	1593925	779575	475660
s26_S64	This study	SINGLE	1759327	1746145	1423692	731336	442377
s27_S65	This study	SINGLE	1780183	1766160	1446136	667734	405169
s28_S66	This study	SINGLE	2041330	2024770	1662412	602785	357301
s29_S67	This study	SINGLE	2093130	2074338	1647123	663822	399720
s3_S41	This study	SINGLE	1597239	1584406	1232994	614081	371466
s30_S68	This study	SINGLE	2477138	2456666	2027198	902871	546835
s31_S69	This study	SINGLE	2139418	2121830	1603246	690987	425492
s32_S70	This study	SINGLE	2431128	2412663	1740822	809420	500479
s33_S71	This study	SINGLE	1435315	1424834	1200489	646669	409994
s34_S72	This study	SINGLE	1519196	1508412	1261270	676807	425367
s35_S73	This study	SINGLE	1315989	1304947	1107797	561046	351030
s4_S42	This study	SINGLE	1722630	1708668	1380706	699177	423648
s42_S79	This study	SINGLE	1483523	1471911	1140638	643185	394603
s43_S80	This study	SINGLE	1501388	1490599	1195610	672112	429751
