gene,contribution
Amillepora17058,4.365947663469072e-5
Amillepora17054,4.665297438416802e-6
Amillepora17057,5.044303596120354e-6
Amillepora17055,4.7235227490392915e-5
Amillepora17050,3.5884409733021584e-5
Amillepora17051,7.403824149591249e-7
Amillepora17053,9.33239073633494e-8
Amillepora17060,1.3685614800117184e-4
Amillepora17064,1.4738968177916955e-4
Amillepora17066,4.592794093444233e-5
Amillepora17061,2.6421146285203613e-5
Amillepora17065,6.649516628993009e-6
Amillepora17067,6.361088700810187e-5
Amillepora17062,1.255114399615328e-5
Amillepora17068,2.1383099727757677e-5
Amillepora17069,1.8638088896743238e-5
Amillepora17072,5.411489824128413e-5
Amillepora17070,3.0416188112576075e-5
Amillepora17080,5.178817391376474e-8
Amillepora17077,5.233360801455269e-5
Amillepora17079,3.6638552967082354e-7
Amillepora17076,1.6380113978112924e-6
Amillepora17074,1.3052829498628394e-7
Amillepora17075,7.332527948570196e-5
Amillepora17073,9.651773537930313e-5
Amillepora17084,2.282034067139606e-5
Amillepora17088,7.472211976775768e-6
Amillepora17087,1.5494355764505435e-5
Amillepora17086,3.351107952631955e-6
Amillepora17091,2.4756095135479784e-6
Amillepora17083,6.977107975032954e-5
Amillepora17081,8.545393631056207e-7
Amillepora17089,8.351034379268652e-8
Amillepora17090,4.1602918732938135e-5
Amillepora17085,1.5925288741158094e-6
Amillepora17100,1.8159238567938337e-5
Amillepora17101,3.021803345218365e-5
Amillepora17096,2.1872944651375782e-4
Amillepora17095,6.8977598169593895e-6
Amillepora17097,4.6045748431256135e-5
Amillepora17106,2.0683916339713206e-5
Amillepora17110,4.527287960339643e-7
Amillepora17105,9.70613433683697e-6
Amillepora17102,8.629471940851863e-5
Amillepora17107,7.305186711647697e-5
Amillepora17109,1.4016036790404437e-4
Amillepora17117,3.700924974887822e-6
Amillepora17115,1.3617430831189145e-4
Amillepora17116,1.6557945285121847e-6
Amillepora17114,1.769018207347682e-5
Amillepora17113,1.8908408081174964e-5
Amillepora17111,3.386094783523446e-8
Amillepora17112,2.225994572928786e-4
Amillepora17119,2.3932744368713195e-6
Amillepora17129,4.364015102470942e-5
Amillepora17131,1.3416696572304066e-5
Amillepora17127,4.074599167423971e-5
Amillepora17124,1.813429565313252e-4
Amillepora17122,5.216529674257146e-5
Amillepora17128,1.0160768129330365e-4
Amillepora17136,2.5763246683645517e-4
Amillepora17140,7.356065666639152e-5
Amillepora17146,1.5527237596257997e-6
Amillepora17144,1.2824504840244402e-5
Amillepora17143,2.0153105277704945e-5
Amillepora17141,6.62025858040102e-4
Amillepora17142,2.6633479457171384e-5
Amillepora17147,1.4462991360250669e-5
Amillepora17156,1.0171147127066675e-4
Amillepora17153,7.269266199560863e-5
Amillepora17154,1.350484620775089e-5
Amillepora17150,6.6758237514241695e-6
Amillepora17161,1.2499227255761261e-4
Amillepora17159,5.733049377566228e-7
Amillepora17158,4.459169262788296e-6
Amillepora17187,8.935074445636928e-5
Amillepora17162,1.549014689554507e-4
