sample	sitesH	sitesA	sitesB	sitesC	sitesD	countH	countA	countB	countC	countD	fracZ	fracA	fracB	fracC	fracD
s131_S165.sam	25624	3	27	5843	87	37249	3	62	10238	4711	0.28728	0.000	0.004	0.682	0.314
s132_S166.sam	27888	4	42	12769	88	42832	7	151	19393	4659	0.36112	0.000	0.006	0.801	0.192
s133_S167.sam	18348	4	79	23705	98	25162	4	297	34382	5429	0.61452	0.000	0.007	0.857	0.135
s134_S168.sam	17366	3	75	29428	96	24195	5	347	42213	3797	0.65709	0.000	0.007	0.911	0.082
s135_S169.sam	17882	2	78	27319	91	24845	7	280	39307	3918	0.63654	0.000	0.006	0.903	0.090
s136_S170.sam	14596	127	41	13111	74	22315	771	74	24986	7261	0.59725	0.023	0.002	0.755	0.219
s137_S171.sam	24533	14	28	6537	93	38400	21	73	12347	7217	0.33859	0.001	0.004	0.628	0.367
s138_S172.sam	27117	12	20	3914	84	42870	17	40	9688	7252	0.28391	0.001	0.002	0.570	0.427
s139_S173.sam	24971	4	75	26312	100	39189	7	413	38306	5600	0.53075	0.000	0.009	0.864	0.126
s13_S51.sam	30377	7	74	21614	108	43332	7	294	32749	7154	0.48128	0.000	0.007	0.815	0.178
s140_S174.sam	22033	3	85	29347	87	31507	3	439	43203	4959	0.60671	0.000	0.009	0.889	0.102
s141_S175.sam	25945	3	38	9957	94	41337	4	98	16082	6257	0.35186	0.000	0.004	0.717	0.279
s142_S176.sam	28064	3	42	16710	83	44578	6	102	24842	5637	0.40693	0.000	0.003	0.812	0.184
s143_S177.sam	31137	4	33	9663	89	49899	4	81	15704	5566	0.29970	0.000	0.004	0.735	0.261
s144_S178.sam	29437	4	68	23834	92	47040	5	223	34390	5842	0.46240	0.000	0.006	0.850	0.144
s145_S179.sam	31535	5	73	29133	110	48613	5	263	42892	7679	0.51119	0.000	0.005	0.844	0.151
s146_S180.sam	28366	4	66	28645	106	43381	5	305	42919	7091	0.53703	0.000	0.006	0.853	0.141
s147_S181.sam	31680	7	53	18395	97	46741	8	180	27336	6840	0.42370	0.000	0.005	0.795	0.199
s148_S182.sam	31165	3	42	10937	90	48265	4	102	16745	6181	0.32304	0.000	0.004	0.727	0.268
s149_S183.sam	22352	1	30	8849	87	32244	1	77	13797	5722	0.37802	0.000	0.004	0.704	0.292
s14_S52.sam	27935	3	53	16539	104	41104	4	166	27151	6039	0.44800	0.000	0.005	0.814	0.181
s150_S184.sam	20481	7	56	18628	86	30078	7	189	28858	8010	0.55202	0.000	0.005	0.779	0.216
