sample	all	nonSym	cladeA	cladeB	cladeC	cladeD
SRR835879	957983	835664	88	498	121038	695
SRR835880	1389660	1238329	127	639	149559	1006
SRR835881	620189	519212	64	388	100074	451
SRR835882	2323054	1994930	235	1329	324950	1610
SRR835883	284294	182291	177	371	100981	474
SRR835884	1627445	1211406	686	1761	411180	2412
SRR835885	525307	364731	210	619	159052	695
SRR835886	2489062	1948365	554	2158	534936	3049
SRR835887	313290	226182	61	321	86438	288
SRR835888	2162444	1778544	196	1571	380486	1647
SRR835889	1581341	1310228	1480	988	267497	1148
SRR835890	2223820	1994990	1146	906	225431	1347
SRR835891	2159401	1850864	201	1203	305443	1690
SRR835892	561119	484062	50	307	76371	329
SRR835893	2770962	2467954	199	1163	300386	1260
SRR835894	2108373	1846158	2421	1090	257490	1214
SRR835895	1371259	1194445	142	673	175094	905
SRR835896	801739	699160	56	372	101642	509
