sample	all	nonSym	cladeA	cladeB	cladeC	cladeD
s7_S45	526683	505870	2	44	13349	7418
s80_S117	541695	529220	2	14	6521	5938
s81_S118	574833	557681	4	27	11589	5532
s82_S119	526026	509691	1	79	10239	6016
s83_S120	473463	452988	4	141	15397	4933
s84_S121	479415	454191	3	138	19732	5351
s85_S122	507086	488309	0	94	11312	7371
s86_S123	450513	433726	3	74	11137	5573
s87_S124	433101	410448	4	149	16667	5833
s88_S125	526443	509736	2	37	10353	6315
s89_S126	492518	470936	4	160	14195	7223
s8_S46	521047	482529	11	218	29017	9272
s90_S127	461903	442099	3	45	11512	8244
s91_S128	471833	443960	3	183	22981	4706
s92_S129	458678	427653	6	188	25370	5461
s93_S130	487029	456766	3	234	24045	5981
s94_S131	384704	357222	7	145	21818	5512
s95_S132	437619	414743	4	114	17025	5733
s96_S133	566238	540094	2	79	19410	6653
s97_S134	497007	472015	4	160	17080	7748
s98_S135	371850	353821	2	120	12865	5042
s99_S136	378366	357757	3	179	15579	4848
s9_S47	504546	464839	4	255	28797	10651
SRR1015298	1938733	1906933	29789	183	543	1285
SRR1015321	1957994	1754777	198908	2324	912	1073
SRR1015323	2688325	2280513	403434	2695	776	907
SRR1015325	4982140	4151290	817762	8618	1747	2723
SRR1015327	5800764	5596912	196740	1307	1787	4018
SRR1015331	4184765	4151798	29244	913	908	1902
SRR1015340	1718967	1568841	145161	2337	743	1885
SRR1015344	871795	729750	127554	2912	10251	1328
SRR1015349	1523365	1485123	37139	468	258	377
SRR1015354	1811919	1761723	47896	931	597	772
SRR1015358	5391101	4899566	484607	2549	1641	2738
SRR1206126	5532	4917	0	4	7	604
SRR1206127	312479	272064	22	580	1018	38795
SRR1206128	195658	170780	18	190	483	24187
SRR1206129	18303	16444	2	10	56	1791
SRR1206130	61263	54216	3	145	198	6701
SRR1206131	247158	216854	12	702	768	28822
SRR1206132	20468	17770	3	11	2662	22
SRR1206133	52876	46242	4	69	6520	41
SRR1206134	125155	110571	8	144	11998	2434
SRR1206135	13896	12254	0	20	1613	9
SRR1206136	8537	7596	3	9	922	7
SRR1206137	10139	8453	0	10	1550	126
SRR1566164	7740726	7740089	15	3	250	369
SRR1566165	7840599	7840170	7	3	160	259
SRR1566166	8018283	8017644	4	4	253	378
SRR1566167	7926996	7926590	8	4	108	286
SRR1566168	7981079	7980538	12	3	156	370
SRR1566169	8183283	8182684	11	2	183	403
SRR1653608	10843206	9292616	149743	5816	1391478	3553
SRR1653611	12619782	10958206	343681	6176	1307816	3903
SRR1653613	1192110	1035833	22523	510	133024	220
SRR1653615	2070069	1844368	61208	651	163566	276
SRR1654664	4777920	4131269	92765	1587	551605	694
SRR1654665	8518887	7554777	259235	2333	701563	979
SRR1703716	19153584	17550951	151225	5299	1443923	2186
SRR1703717	15622782	13804311	37350	5972	1772929	2220
SRR1703718	15809427	13946383	45892	6083	1808775	2294
SRR1706955	28394787	24978806	81228	11084	3319367	4302
SRR1812166	6082081	4931662	178	5799	20178	1124264
SRR1812167	7264003	6097078	345	15394	35024	1116162
SRR1812168	7492437	6254631	239	10901	24409	1202257
SRR1812169	6495778	6099904	106	5423	12218	378127
SRR1812170	8271498	7443015	150	7303	16210	804820
SRR1812171	6564265	5642297	105	9430	740119	172314
SRR1812172	8316279	7411612	345	15174	18975	870173
SRR1812173	7083390	5892949	297	10889	65128	1114127
SRR1812174	6866710	5885320	246	22009	19913	939222
SRR1812175	4629060	3402487	1616	30096	30808	1164053
SRR1812176	5415424	4396783	245	8279	57018	953099
SRR1812177	6249291	5003723	224	23968	28204	1193172
SRR1812178	9631080	8259238	546	16288	31541	1323467
SRR1812179	5299758	4898728	343	3561	8653	388473
SRR1812180	5607450	5020060	102	2589	10652	574047
SRR1812181	5162036	3986862	151	5245	989942	179836
SRR1812182	9058404	8055105	307	20923	21114	960955
SRR1812183	3366099	2603354	622	7129	52599	702395
SRR1812184	7429100	6078633	264	14269	24798	1311136
SRR1812185	5855461	4653453	387	21220	22989	1157412
SRR1812186	6418403	5604682	198	5080	580740	227703
SRR1812187	8154204	7044050	124	6057	1050629	53344
SRR1812188	5436029	4644980	111	6389	591191	193358
SRR1812189	7850433	6907076	214	13711	19187	910245
SRR1812190	7429078	6512617	179	11690	15968	888624
SRR1812191	6759450	5792147	122	3968	959881	3332
SRR1812192	8151683	6656605	178	6215	1481981	6704
SRR1812193	7320477	6346031	129	4223	963287	6807
SRR1812194	6325549	4942089	219	9743	1025767	347731
SRR1812195	6760839	5871297	526	6298	743373	139345
SRR1812196	7311316	6828927	101	3301	395447	83540
SRR1812197	5502881	4930724	103	4104	407288	160662
SRR1812198	7432322	6744116	148	4287	12714	671057
SRR1812199	8769440	7623206	265	23139	22586	1100244
SRR1812200	6314757	5075781	191	5154	1229423	4208
SRR1812201	6113945	4974933	271	5507	1124852	8382
SRR1812202	5633958	5002400	168	2688	623897	4805
SRR1812203	4747483	2938792	234	6469	1472193	329795
SRR1812204	6481380	5562976	160	16128	18729	883387
SRR1812205	6163496	4735645	230	11984	22731	1392906
SRR1812206	5749081	4880738	145	7715	16199	844284
SRR1812207	6472299	5499888	158	7702	20064	944487
SRR1812208	6299773	5497999	148	7040	14053	780533
SRR1812209	6721131	5613347	149	6228	1093077	8330
SRR1812210	7530069	6408348	320	10592	18176	1092633
SRR1812211	9258441	8348085	233	11717	18054	880352
SRR1812212	7086059	6222927	238	18899	17698	826297
SRR1812213	6846721	5813134	173	10593	17165	1005656
