my_title,Run,my_stage,Organism,projType,treat,treatDescription,special,geneCounted,rawCounts,bleached,stress,LibraryLayout
G_barilanU_moonlight_PRJNA276913,SRR1842773,adult,Acropora millepora,light,not_done_yet,NewMoon12am,none,10817918,28559116,NA,not_a_stress_experiment,SINGLE
G_barilanU_moonlight_PRJNA276913,SRR1842776,adult,Acropora millepora,light,not_done_yet,FullMoon12pm,none,9257548,27134624,NA,not_a_stress_experiment,SINGLE
G_barilanU_moonlight_PRJNA276913,SRR1842777,adult,Acropora millepora,light,not_done_yet,FullMoon6pm,none,9756561,25268154,NA,not_a_stress_experiment,SINGLE
G_barilanU_moonlight_PRJNA276913,SRR1842828,adult,Acropora millepora,light,not_done_yet,FullMoon12am,none,9140975,23570631,NA,not_a_stress_experiment,SINGLE
G_barilanU_moonlight_PRJNA276913,SRR1853176,adult,Acropora millepora,light,not_done_yet,0615PM_Ambient_16/11/2011,none,7921247,16170210,NA,not_a_stress_experiment,PAIRED
G_barilanU_moonlight_PRJNA276913,SRR1853185,adult,Acropora millepora,light,not_done_yet,0615PM_Dark_16/11/2011,none,9290821,15958231,NA,not_a_stress_experiment,PAIRED
G_barilanU_moonlight_PRJNA276913,SRR1853188,adult,Acropora millepora,light,not_done_yet,0615PM_Light_16/11/2011,none,9321993,16556895,NA,not_a_stress_experiment,PAIRED
G_barilanU_moonlight_PRJNA276913,SRR1853192,adult,Acropora millepora,light,not_done_yet,0730PM_Ambient_16/11/2011,none,9570065,16721174,NA,not_a_stress_experiment,PAIRED
G_barilanU_moonlight_PRJNA276913,SRR1853195,adult,Acropora millepora,light,not_done_yet,0730PM_Dark_16/11/2011,none,10264038,17701071,NA,not_a_stress_experiment,PAIRED
G_barilanU_moonlight_PRJNA276913,SRR1853198,adult,Acropora millepora,light,not_done_yet,0730PM_Light_16/11/2011,none,10441428,17848327,NA,not_a_stress_experiment,PAIRED
G_barilanU_moonlight_PRJNA276913,SRR1853201,adult,Acropora millepora,light,not_done_yet,0900PM_Ambient_16/11/2011,none,9872649,16978345,NA,not_a_stress_experiment,PAIRED
G_barilanU_moonlight_PRJNA276913,SRR1853204,adult,Acropora millepora,light,not_done_yet,1030PM_Ambient_16/11/2011,none,9907187,17386867,NA,not_a_stress_experiment,PAIRED
G_barilanU_moonlight_PRJNA276913,SRR1853208,adult,Acropora millepora,light,not_done_yet,1000PM_Dark_16/11/2011,none,10181276,17967712,NA,not_a_stress_experiment,PAIRED
G_barilanU_moonlight_PRJNA276913,SRR1853209,adult,Acropora millepora,light,not_done_yet,1000PM_Light_16/11/2011,none,9687246,17178450,NA,not_a_stress_experiment,PAIRED
G_barilanU_moonlight_PRJNA276913,SRR1853210,adult,Acropora millepora,light,not_done_yet,1000PM_Ambient_16/11/2011,none,8506030,16019652,NA,not_a_stress_experiment,PAIRED
G_barilanU_moonlight_PRJNA276913,SRR1853211,adult,Acropora millepora,light,not_done_yet,1220AM_Ambient_17/11/2011,none,8492020,14598256,NA,not_a_stress_experiment,PAIRED
G_barilanU_moonlight_PRJNA276913,SRR1853246,adult,Acropora millepora,light,not_done_yet,0900PM_Light_16/11/2011,none,6954512,13854134,NA,not_a_stress_experiment,PAIRED
G_barilanU_moonlight_PRJNA276913,SRR1853247,adult,Acropora millepora,light,not_done_yet,0900PM_Ambient_10/11/2011,none,8662898,16204811,NA,not_a_stress_experiment,PAIRED
G_barilanU_moonlight_PRJNA276913,SRR1853248,adult,Acropora millepora,light,not_done_yet,1200AM_Ambient_14/11/2011,none,9433306,16226384,NA,not_a_stress_experiment,PAIRED
G_barilanU_moonlight_PRJNA276913,SRR1853249,adult,Acropora millepora,light,not_done_yet,0730PM_Light_15/11/2011,none,8609047,15513104,NA,not_a_stress_experiment,PAIRED
