sample_name,sample_title,organism,isolate,breed,isolation_source,collection_date,geo_loc_name,tissue,age,description,method,fileName
Ls.L1.T.tp1.3,s105_S141,Acropora millepora,Ls_L1_T_tp1_3,L1,Little Pioneer Bay near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=low_salinity;colony=L1;treatment=;replicate=3;timepoint=1,Method=Tagseq;experiment=low_salinity;colony=L1;treatment=;replicate=3;timepoint=1,s105_S141.fastq.gz
Ls.L1.C.tp1.1,s106_S142,Acropora millepora,Ls_L1_C_tp1_1,L1,Little Pioneer Bay near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=low_salinity;colony=L1;treatment=;replicate=1;timepoint=1,Method=Tagseq;experiment=low_salinity;colony=L1;treatment=;replicate=1;timepoint=1,s106_S142.fastq.gz
Ls.L1.C.tp1.2,s107_S143,Acropora millepora,Ls_L1_C_tp1_2,L1,Little Pioneer Bay near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=low_salinity;colony=L1;treatment=;replicate=2;timepoint=1,Method=Tagseq;experiment=low_salinity;colony=L1;treatment=;replicate=2;timepoint=1,s107_S143.fastq.gz
Ls.L1.C.tp1.3,s108_S144,Acropora millepora,Ls_L1_C_tp1_3,L1,Little Pioneer Bay near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=low_salinity;colony=L1;treatment=;replicate=3;timepoint=1,Method=Tagseq;experiment=low_salinity;colony=L1;treatment=;replicate=3;timepoint=1,s108_S144.fastq.gz
Tw.N10.C.tp1.2,s110_S145,Acropora millepora,Tw_N10_C_tp1_2,N10,North East Orpheus near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=three_way;colony=N10;treatment=;replicate=2;timepoint=1,Method=Tagseq;experiment=three_way;colony=N10;treatment=;replicate=2;timepoint=1,s110_S145.fastq.gz
Tw.N10.C.tp1.3,s111_S146,Acropora millepora,Tw_N10_C_tp1_3,N10,North East Orpheus near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=three_way;colony=N10;treatment=;replicate=3;timepoint=1,Method=Tagseq;experiment=three_way;colony=N10;treatment=;replicate=3;timepoint=1,s111_S146.fastq.gz
Ht2.N10.T.tp1.1,s112_S147,Acropora millepora,Ht2_N10_T_tp1_1,N10,North East Orpheus near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=heat2;colony=N10;treatment=;replicate=1;timepoint=1,Method=Tagseq;experiment=heat2;colony=N10;treatment=;replicate=1;timepoint=1,s112_S147.fastq.gz
Ht2.N10.T.tp1.2,s113_S148,Acropora millepora,Ht2_N10_T_tp1_2,N10,North East Orpheus near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=heat2;colony=N10;treatment=;replicate=2;timepoint=1,Method=Tagseq;experiment=heat2;colony=N10;treatment=;replicate=2;timepoint=1,s113_S148.fastq.gz
Ht2.N10.T.tp1.3,s114_S149,Acropora millepora,Ht2_N10_T_tp1_3,N10,North East Orpheus near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=heat2;colony=N10;treatment=;replicate=3;timepoint=1,Method=Tagseq;experiment=heat2;colony=N10;treatment=;replicate=3;timepoint=1,s114_S149.fastq.gz
HtC.N10.T.tp1.1,s115_S150,Acropora millepora,HtC_N10_T_tp1_1,N10,North East Orpheus near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=hot_to_cold;colony=N10;treatment=;replicate=1;timepoint=1,Method=Tagseq;experiment=hot_to_cold;colony=N10;treatment=;replicate=1;timepoint=1,s115_S150.fastq.gz
HtC.N10.T.tp1.2,s116_S151,Acropora millepora,HtC_N10_T_tp1_2,N10,North East Orpheus near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=hot_to_cold;colony=N10;treatment=;replicate=2;timepoint=1,Method=Tagseq;experiment=hot_to_cold;colony=N10;treatment=;replicate=2;timepoint=1,s116_S151.fastq.gz
HtC.N10.T.tp1.3,s117_S152,Acropora millepora,HtC_N10_T_tp1_3,N10,North East Orpheus near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=hot_to_cold;colony=N10;treatment=;replicate=3;timepoint=1,Method=Tagseq;experiment=hot_to_cold;colony=N10;treatment=;replicate=3;timepoint=1,s117_S152.fastq.gz
CtH.N10.T.tp1.1,s118_S153,Acropora millepora,CtH_N10_T_tp1_1,N10,North East Orpheus near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=cold_to_hot;colony=N10;treatment=;replicate=1;timepoint=1,Method=Tagseq;experiment=cold_to_hot;colony=N10;treatment=;replicate=1;timepoint=1,s118_S153.fastq.gz
CtH.N10.T.tp1.2,s119_S154,Acropora millepora,CtH_N10_T_tp1_2,N10,North East Orpheus near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=cold_to_hot;colony=N10;treatment=;replicate=2;timepoint=1,Method=Tagseq;experiment=cold_to_hot;colony=N10;treatment=;replicate=2;timepoint=1,s119_S154.fastq.gz
CtH.N10.T.tp1.3,s120_S155,Acropora millepora,CtH_N10_T_tp1_3,N10,North East Orpheus near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=cold_to_hot;colony=N10;treatment=;replicate=3;timepoint=1,Method=Tagseq;experiment=cold_to_hot;colony=N10;treatment=;replicate=3;timepoint=1,s120_S155.fastq.gz
Ht2.L1.T.tp1.1,s121_S156,Acropora millepora,Ht2_L1_T_tp1_1,L1,Little Pioneer Bay near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=heat2;colony=L1;treatment=;replicate=1;timepoint=1,Method=Tagseq;experiment=heat2;colony=L1;treatment=;replicate=1;timepoint=1,s121_S156.fastq.gz
Ht2.L1.T.tp1.2,s122_S157,Acropora millepora,Ht2_L1_T_tp1_2,L1,Little Pioneer Bay near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=heat2;colony=L1;treatment=;replicate=2;timepoint=1,Method=Tagseq;experiment=heat2;colony=L1;treatment=;replicate=2;timepoint=1,s122_S157.fastq.gz
Ht2.L1.T.tp1.3,s123_S158,Acropora millepora,Ht2_L1_T_tp1_3,L1,Little Pioneer Bay near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=heat2;colony=L1;treatment=;replicate=3;timepoint=1,Method=Tagseq;experiment=heat2;colony=L1;treatment=;replicate=3;timepoint=1,s123_S158.fastq.gz
Ht2.N2.T.tp1.2,s125_S159,Acropora millepora,Ht2_N2_T_tp1_2,N2,North East Orpheus near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=heat2;colony=N2;treatment=;replicate=2;timepoint=1,Method=Tagseq;experiment=heat2;colony=N2;treatment=;replicate=2;timepoint=1,s125_S159.fastq.gz
Ht2.N2.T.tp1.3,s126_S160,Acropora millepora,Ht2_N2_T_tp1_3,N2,North East Orpheus near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=heat2;colony=N2;treatment=;replicate=3;timepoint=1,Method=Tagseq;experiment=heat2;colony=N2;treatment=;replicate=3;timepoint=1,s126_S160.fastq.gz
Tw.L1.C.tp1.1,s127_S161,Acropora millepora,Tw_L1_C_tp1_1,L1,Little Pioneer Bay near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=three_way;colony=L1;treatment=;replicate=1;timepoint=1,Method=Tagseq;experiment=three_way;colony=L1;treatment=;replicate=1;timepoint=1,s127_S161.fastq.gz
Tw.L1.C.tp1.2,s128_S162,Acropora millepora,Tw_L1_C_tp1_2,L1,Little Pioneer Bay near Orpheus Island Research Station,11/25/18,Australia,nubbin,adult,experiment=three_way;colony=L1;treatment=;replicate=2;timepoint=1,Method=Tagseq;experiment=three_way;colony=L1;treatment=;replicate=2;timepoint=1,s128_S162.fastq.gz
