file	all	nonSym	cladeC	cladeD
SRR1812194_symbCounts.tsv	3476486	2393454	781459	301573
SRR1812195_symbCounts.tsv	2879764	2210046	544184	125534
SRR1812196_symbCounts.tsv	3038018	2606447	351146	80425
SRR1812197_symbCounts.tsv	2523858	2027441	350429	145988
SRR1812198_symbCounts.tsv	3358019	2793229	6402	558388
SRR1812199_symbCounts.tsv	3741644	2952601	5663	783380
SRR1812200_symbCounts.tsv	2960815	2064627	891719	4469
SRR1812201_symbCounts.tsv	2933016	2048352	876479	8185
SRR1812202_symbCounts.tsv	2660582	2141228	514820	4534
SRR1812203_symbCounts.tsv	2873002	1454811	1119218	298973
SRR1812204_symbCounts.tsv	3223229	2546055	7088	670086
SRR1812205_symbCounts.tsv	3478735	2434978	6344	1037413
SRR1812206_symbCounts.tsv	2920742	2278057	5405	637280
SRR1812207_symbCounts.tsv	3096401	2416834	7043	672524
SRR1812208_symbCounts.tsv	3338729	2714811	5301	618617
SRR1812209_symbCounts.tsv	3193693	2431751	753976	7966
SRR1812210_symbCounts.tsv	3760301	2919509	5702	835090
SRR1812211_symbCounts.tsv	4019284	3345651	6920	666713
SRR1812212_symbCounts.tsv	3466240	2830126	4537	631577
SRR1812213_symbCounts.tsv	3623032	2819980	5742	797310
SRR1812214_symbCounts.tsv	2602462	1891406	6555	704501
SRR1812215_symbCounts.tsv	2762763	2124860	5862	632041
SRR1812216_symbCounts.tsv	2949470	2068522	6902	874046
SRR1812217_symbCounts.tsv	2380210	1976518	5496	398196
SRR1812218_symbCounts.tsv	3044128	2213332	6751	824045
SRR1812219_symbCounts.tsv	2724324	1864794	854315	5215
SRR1812220_symbCounts.tsv	2616982	2144241	4174	468567
SRR1812221_symbCounts.tsv	2650981	2132746	4241	513994
SRR1812222_symbCounts.tsv	2442939	1974237	4850	463852
SRR1812223_symbCounts.tsv	3104571	2624732	3986	475853
SRR1812224_symbCounts.tsv	3228622	2557091	476817	194714
SRR1812225_symbCounts.tsv	3254145	2311898	786414	155833
SRR1812226_symbCounts.tsv	3112609	2478228	561840	72541
SRR1812227_symbCounts.tsv	2872660	2052376	815350	4934
SRR1812228_symbCounts.tsv	3862695	3431015	4459	427221
SRR1812229_symbCounts.tsv	3297965	2264428	1029209	4328
SRR1812230_symbCounts.tsv	3607612	2861608	4794	741210
SRR1812231_symbCounts.tsv	2972000	2281854	684756	5390
SRR1812232_symbCounts.tsv	3856611	2651208	1198193	7210
SRR1812233_symbCounts.tsv	3049704	2337843	551130	160731
SRR1812234_symbCounts.tsv	2978669	2081232	719343	178094
SRR1812235_symbCounts.tsv	2936717	2286347	568386	81984
SRR1812236_symbCounts.tsv	3469882	2214705	1249887	5290
SRR1812237_symbCounts.tsv	3054240	2307734	5282	741224
SRR1812238_symbCounts.tsv	3034064	2352462	676825	4777
SRR1812239_symbCounts.tsv	2694326	2096092	4380	593854
SRR1812240_symbCounts.tsv	2567287	1925576	633579	8132
SRR1812241_symbCounts.tsv	2686934	1606859	1074434	5641
SRR1812242_symbCounts.tsv	3485511	2771102	5988	708421
SRR1812243_symbCounts.tsv	2575869	1950979	4681	620209
SRR1812244_symbCounts.tsv	3087443	2705165	3879	378399
SRR1812245_symbCounts.tsv	3469992	3174200	3750	292042
SRR1812246_symbCounts.tsv	3239731	2821482	5543	412706
SRR1812247_symbCounts.tsv	3709812	2822383	682466	204963
SRR1812248_symbCounts.tsv	1661060	1309867	5364	345829
SRR1812249_symbCounts.tsv	2998837	2321854	29057	647926
SRR1812250_symbCounts.tsv	3144588	2515468	4486	624634
SRR1812251_symbCounts.tsv	2828973	2119550	4320	705103
SRR1812252_symbCounts.tsv	4068292	3248295	9118	810879
SRR1812253_symbCounts.tsv	2620180	2130509	5220	484451
SRR1812254_symbCounts.tsv	3350653	2691873	5491	653289
SRR1812255_symbCounts.tsv	2580437	2299155	5354	275928
SRR1812256_symbCounts.tsv	2776651	2277139	5576	493936
SRR1812257_symbCounts.tsv	3140131	2404970	576987	158174
SRR1812258_symbCounts.tsv	3049707	1979717	5970	1064020
SRR1812259_symbCounts.tsv	2748509	1978106	191459	578944
SRR1812260_symbCounts.tsv	4348297	3290221	8954	1049122
SRR1812261_symbCounts.tsv	2619322	1833101	6439	779782
SRR1812262_symbCounts.tsv	3842098	3222524	517907	101667
SRR1812263_symbCounts.tsv	2857426	2242175	568166	47085
SRR1812264_symbCounts.tsv	3659538	2896123	606540	156875
SRR1812265_symbCounts.tsv	3728474	2917919	11018	799537
SRR1812266_symbCounts.tsv	3427889	2858316	4812	564761
SRR1812267_symbCounts.tsv	2570125	1923506	640381	6238
SRR1812268_symbCounts.tsv	4645171	3663620	974051	7500
