gene	lassoCoef	MeanDecreaseAccuracy	MeanDecreaseGini
Amillepora17786	0	0	0
Amillepora17781	0	0	0
Amillepora17795	0	0	0
Amillepora17796	0	1.4705882352941177e-5	0.002666666666666667
Amillepora17784	0	-2.7210884353741494e-5	0.00805263157894737
Amillepora17794	0	0	0
Amillepora17799	0	0	0
Amillepora17798	0	0	0
Amillepora17808	0	-1.4084507042253522e-5	0.01993427074717846
Amillepora17811	0	0	0
Amillepora17807	0	0	0
Amillepora17814	0	7.352941176470589e-5	0.0019214035087719026
Amillepora17816	0	0	0
Amillepora17815	0	0	0
Amillepora17812	0	-1.4925373134328359e-5	0.003636363636363637
Amillepora17824	0	0	0
Amillepora17817	0	0	0
Amillepora17825	0	0	0
Amillepora17827	0	-8.510638297872341e-5	0.00848399014778326
Amillepora17828	0	0	0
Amillepora17833	0	0	0
Amillepora17835	0	0	0
Amillepora17832	0	0	0
Amillepora17840	0	0	0
Amillepora17845	0	0	0
Amillepora17843	0	0	0
Amillepora17856	0	0	0
Amillepora17857	0	2.8985507246376814e-5	0.010181818181818186
Amillepora17849	0	-3.1496062992125985e-5	0.007703703703703695
Amillepora17848	0	-2.7972027972027973e-5	0.011727272727275277
Amillepora17860	0	1.3071895424836602e-5	0.02547037037037039
Amillepora17864	0	0	0
Amillepora17870	0	-4.2857142857142856e-5	0.026664737793851742
Amillepora17867	0	6.756756756756757e-5	0.008897669706180835
Amillepora17868	0	0	0
Amillepora17874	0	4.4444444444444447e-5	0.010448859455481966
Amillepora17882	0	0	0
Amillepora17878	0	0	0
Amillepora17877	0	0	0
Amillepora17879	0	0	0
Amillepora17881	0	0	0
Amillepora17880	0	0	0
Amillepora17883	0	0	0
Amillepora17887	0	0	0
Amillepora17889	0	0	0
Amillepora17890	0	9.125607217210272e-5	0.03287582276960177
Amillepora17888	0	7.751937984496124e-5	0.014148837209302314
Amillepora17891	0	0	0
Amillepora17884	0	0	0
Amillepora17886	0	0	0.022674948240165634
Amillepora17893	0	0	0.0020000000000000005
Amillepora17895	0	0	0
Amillepora17894	0	0	0.0032
Amillepora17892	0	0	0
Amillepora17896	0	1.4388489208633095e-5	0.010997256481248429
Amillepora17919	0	0	0
Amillepora17918	0	0	0
Amillepora17914	0	0	0
Amillepora17899	0	0	0
Amillepora17906	0	6.952765544314842e-5	0.04122154841050694
Amillepora17907	0	0	0
Amillepora17900	0	0	0
Amillepora17908	0	2.7210884353741494e-5	0.019354838709677424
Amillepora17904	0	0	0
Amillepora17912	0	0	0
Amillepora17901	0	0	0
Amillepora17909	0	0	0
Amillepora17910	0	0	0
Amillepora17897	0	2.8169014084507043e-5	0.03425587286893466
Amillepora17920	0	0	0
Amillepora17917	0	0	0.015456651399119295
Amillepora17905	0	0	0.016676315174187502
Amillepora17913	0	0	0
Amillepora17911	0	0	0
Amillepora17921	0	0	0
Amillepora17928	0	4.2857142857142856e-5	0.003920178970917221
Amillepora17925	0	0	0
Amillepora17927	0	0	0
Amillepora17926	0	0	0
Amillepora17932	0	0	0
Amillepora17930	0	0	0
Amillepora17933	0	0	0.022755555555555567
Amillepora17929	0	0	0
Amillepora17939	0	0	0
Amillepora17936	0	2.7972027972027973e-5	0.007689678742310321
Amillepora17940	0	0	0.013418509418509424
Amillepora17937	0	0	0
Amillepora17938	0	7.042253521126761e-5	0.003964912280704425
Amillepora17941	0	0	0
Amillepora17946	0	0	0
Amillepora17943	0	0	0
Amillepora17944	0	4.411764705882353e-5	0.009
Amillepora17945	0	0	0
Amillepora17950	0	0	0
Amillepora17952	0	0	0
Amillepora17951	0	-1.417892452375211e-5	0.02764615384615381
Amillepora17947	0	0	0
Amillepora17959	0	4.477611940298507e-5	0.005888888888888885
Amillepora17953	0	0	0
Amillepora17954	0	-2.962962962962963e-5	0.02624113475177306
Amillepora17957	0	0	0
Amillepora17961	0	0	0
Amillepora17966	0	1.5037593984962406e-5	0.0415860629255927
Amillepora17969	0	0	0
Amillepora17965	0	0	0
Amillepora17967	0	0	0
Amillepora17974	0	0	0
Amillepora17977	0	1.3333333333333335e-5	0.02595188811188808
Amillepora17979	0	0	0
Amillepora17978	0	0	0
Amillepora17975	0	0	0
Amillepora17972	0	0	0
Amillepora17970	0	0	0
Amillepora17976	0	0	0
Amillepora17981	0	0	0
Amillepora17982	0	0	0
Amillepora17980	0	0	0.007000000000000029
Amillepora17990	0	0	0.017394519245265513
Amillepora17985	0	0	0
Amillepora17991	0	0	0
Amillepora17994	0	0	0
Amillepora17993	0	0	0
Amillepora17998	0	5.555555555555555e-5	0.014786987270155578
Amillepora17996	0	1.45985401459854e-5	0.0032
Amillepora17999	0	0	0
Amillepora17995	0	0	0
Amillepora18004	0	0	0.028989057680391683
Amillepora18007	0	0	0
Amillepora18008	0	0	0
Amillepora18001	0	0	0
Amillepora18006	0	0	0
Amillepora18011	0	0	0
Amillepora18010	0	0	0
Amillepora18012	0	0	0.012307692307692308
Amillepora18013	0	0	0
Amillepora18017	0	0	0.003866497369860781
Amillepora18018	0	-1.5037593984962406e-5	0.007359999999999999
Amillepora18016	0	0	0
Amillepora18023	0	0	0.006857142857142858
Amillepora18022	0	0	0.0032
Amillepora18020	0	-1.4492753623188407e-5	0.0071111111111111175
Amillepora18021	0	0	0
Amillepora18019	0	0	0
Amillepora18030	0	0	0
Amillepora18024	0	0	0
Amillepora18029	0	0	0
Amillepora18027	0	4.4444444444444447e-5	0.028618282654427233
Amillepora18041	0	0	0
Amillepora18034	0	0	0
Amillepora18037	0	0	0
Amillepora18035	0	0	0
Amillepora18050	0	0	0
Amillepora18045	0	0	0.0067692307692307704
Amillepora18046	0	0	0
Amillepora18042	0	-1.5503875968992248e-5	0.003975903614473225
Amillepora18043	0	-2.7586206896551723e-5	0.0032
Amillepora18055	0	0	0
Amillepora18047	0	0	0
Amillepora18048	0	0	0
Amillepora18051	0	0	0
Amillepora18054	0	0	0
Amillepora18052	0	0	0
Amillepora18059	0	0	0
Amillepora18056	0	0	0
Amillepora18064	0	0	0
Amillepora18063	0.20322146935438348	8.17781264675507e-4	0.43368735018500615
Amillepora18061	0	0	0
Amillepora18067	0	1.3888888888888888e-5	0.007881481481481501
Amillepora18065	0	0	0.0038618881118964053
Amillepora18060	0	0	0
Amillepora18069	0	0	0
Amillepora18068	0	0	0
Amillepora18076	0	4.3165467625899284e-5	0.010193939393939396
Amillepora18075	0	0	0
Amillepora18074	0	0	0.0039775280899021935
Amillepora18081	0	0	0
Amillepora18072	0	0	0
Amillepora18079	0	0	0
Amillepora18082	0	-2.7972027972027973e-5	0.01528800661703886
Amillepora18078	0	0	0
Amillepora18077	0	0	0
Amillepora18080	0	0	0
Amillepora18070	0	1.45985401459854e-5	0.015
Amillepora18071	0	4.137890982562896e-4	0.1569537855754027
Amillepora18085	0	0	0.008150088547815813
Amillepora18083	0	0	0
Amillepora18087	0	0	0
Amillepora18090	0	0	0
Amillepora18088	0	0	0
Amillepora18099	0	0	0
Amillepora18098	0	0	0
Amillepora18108	0	0	0.0037353535353541077
Amillepora18110	0	0	0
Amillepora18112	0	0	0
Amillepora18116	0	0	0
Amillepora18124	0	0	0
Amillepora18125	0	2.8169014084507043e-5	0.009000000000000001
Amillepora18133	0	0	0
Amillepora18135	0	0	0
Amillepora18126	0	0	0
Amillepora18130	0	0	0
Amillepora18127	0	0	0
Amillepora18131	0	0	0
Amillepora18134	0	5.6692550832400904e-5	0.03798509316770186
Amillepora18128	0	0	0
Amillepora18137	0	0	0
Amillepora18136	0	0	0.007333333333333336
Amillepora18139	0	7.507574907417798e-5	0.029392885700528525
Amillepora18143	0	0	0
Amillepora18142	0	0	0
Amillepora18141	0	0	0
Amillepora18154	0	0	0
Amillepora18150	0	0	0
Amillepora18151	0	0	0
Amillepora18152	0	0	0
Amillepora18148	0	0	0
Amillepora18145	0	9.014606496620886e-5	0.03244739904058792
Amillepora18144	0	0	0
Amillepora18146	0	1.5264593562465902e-4	0.07244126862245395
Amillepora18166	0	0	0
Amillepora18162	0	0	0
Amillepora18165	0	0	0.003972413793103442
Amillepora18159	0	0	0
Amillepora18158	0	0	0
Amillepora18157	0	1.3986013986013986e-5	0.003974358974358949
Amillepora18164	0	-1.5625e-5	0.007373127694568496
Amillepora18169	0	4.3165467625899284e-5	0.007587491455912527
Amillepora18167	0	0	0
Amillepora18168	0	0	0
Amillepora18172	0	0	0
Amillepora18180	0	4.580152671755725e-5	0.017925925925925925
Amillepora18179	0	0	0
Amillepora18183	0	0	0
Amillepora18176	0	0	0
Amillepora18182	0	0	0
Amillepora18175	0	0	0.015798545825035887
Amillepora18189	0	0	0
Amillepora18186	0	0	0
Amillepora18190	0	7.194244604316547e-5	0.014538705738705743
Amillepora18187	0	0	0
Amillepora18188	0	0	0
Amillepora18184	0	0	0
Amillepora18185	0	0	0
Amillepora18195	0	0	0
Amillepora18196	0	0	0
Amillepora18194	0	0	0
Amillepora18191	0	1.9444444444444446e-4	0.035457875457875473
Amillepora18199	0	0	0.0038149440715964716
Amillepora18198	0	0	0
Amillepora18210	0	0	0
Amillepora18207	0	0	0
Amillepora18240	0	0	0
Amillepora18239	0	0	0
Amillepora18242	0	0	0
Amillepora18220	0	0	0
Amillepora18241	0	0	0
Amillepora18247	0	2.877697841726619e-5	0.0032
Amillepora18245	0	0	0
Amillepora18244	0	0	0
Amillepora18258	0	0	0
Amillepora18254	0	0	0
Amillepora18259	0	3.0534351145038166e-5	0.0037960784313810906
Amillepora18249	0	0	0
Amillepora18248	0	0	0
Amillepora18253	0	0	0.003965811965816528
Amillepora18261	0	0	0
Amillepora18260	0	0	0
Amillepora18269	0	3.0103250061296214e-5	0.08058383110690863
Amillepora18267	0	3.570147002543842e-4	0.06071614057611225
Amillepora18265	0	5.882352941176471e-5	0.039414750290360075
Amillepora18288	0	0	0
Amillepora18293	0	0	0
Amillepora18297	0	0	0
Amillepora18301	0	0	0.01772156750024061
Amillepora18292	0	0	0
Amillepora18296	0	0	0
Amillepora18295	0	-1.4184397163120568e-5	0.027134569377990473
Amillepora18300	0	1.5037593984962406e-5	0.03648355593482393
Amillepora18310	0	0	0.0038709677419354873
Amillepora18302	0	0	0.0148565947242206
Amillepora18309	0	0	0
Amillepora18308	0	0	0
Amillepora18314	0	0	0
Amillepora18317	0	1.5384615384615384e-5	0.01498023140495988
Amillepora18315	0	4.545454545454546e-5	0.015318966708108832
Amillepora18324	0	0	0
Amillepora18322	0	0	0
Amillepora18319	0	0	0
Amillepora18320	0	2.9850746268656717e-5	0.011860844581774803
Amillepora18323	0	0	0.007443058350100614
Amillepora18321	0	0	0
Amillepora18329	0	0	0
Amillepora18327	0	0	0.008400000000000003
Amillepora18326	0	0	0
Amillepora18328	0	1.5503875968992248e-5	0.014378337493381736
Amillepora18331	0	0	0
Amillepora18325	0	0	0
Amillepora18334	0	0	0
Amillepora18335	0	0	0
Amillepora18340	0	0	0
Amillepora18342	0	0	0
Amillepora18349	0	6.0719981772613354e-5	0.0066330532212885
Amillepora18348	0	8.571428571428571e-5	0.008639149189350007
Amillepora18346	0	0	0
Amillepora18353	0	0	0
Amillepora18357	0	0	0
Amillepora18356	0	0	0
Amillepora18351	0	0	0
Amillepora18352	0	0	0
Amillepora18350	0	0	0
Amillepora18360	0	-1.4925373134328359e-5	0.007431216931216938
Amillepora18365	0	0	0
Amillepora18363	0	5.5944055944055945e-5	0.003971830985915517
Amillepora18362	0	0	0
Amillepora18378	0	0	0.003969230769230762
Amillepora18372	0	0	0
Amillepora18368	0	2.8368794326241135e-5	0.009
Amillepora18375	0	0	0
Amillepora18367	0	0	0.0020000000000000005
Amillepora18366	0	0	0.0036000000000000016
Amillepora18376	0	0	0
Amillepora18373	0	0	0
Amillepora18383	0	2.7777777777777776e-5	0.04211145299145303
Amillepora18380	0	0	0
Amillepora18381	0	0	0.005333333333333334
Amillepora18379	0	0	0
Amillepora18385	0	-1.4388489208633095e-5	0.014769230769230774
Amillepora18389	0	0	0
Amillepora18382	0	0	0
Amillepora18398	0	0	0
Amillepora18394	0	6.994347034588483e-5	0.007882745232391415
Amillepora18396	0	0	0
Amillepora18395	0	0	0
Amillepora18390	0	0	0
Amillepora18393	0	0	0
Amillepora18402	0	-1.4388489208633095e-5	0.003428571428571429
Amillepora18404	0	0	0
Amillepora18401	0	0	0
Amillepora18403	0	0	0
Amillepora18406	0	0	0
Amillepora18408	0	0	0
Amillepora18400	0	0	0
Amillepora18407	0	0	0
Amillepora18418	0	-1.5267175572519083e-5	0.007617102556567715
Amillepora18412	0	0	0.007157894736842106
Amillepora18409	0	0	0.013357142857142854
Amillepora18417	0	0	0
Amillepora18415	0	1.45985401459854e-5	0.010901837270346387
Amillepora18416	0	0	0
Amillepora18414	0	0	0
Amillepora18413	0	3.0534351145038166e-5	0.021272727272727266
Amillepora18422	0	0	0.0032
Amillepora18420	0	0	0
Amillepora18428	0	1.2180894569537596e-4	0.08413007139617619
Amillepora18429	0	0	0.014038709677419351
Amillepora18434	0	0	0
Amillepora18438	0	0	0
Amillepora18436	0	0	0
Amillepora18435	0	0	0
Amillepora18433	0	0	0
Amillepora18444	0	0	0
Amillepora18442	0	0	0
Amillepora18440	0	0	0
