Run,BioProject,Reference,Reference_year,Reference_DOI,Organism,Developmental_stage,Project_type,Treatment,Treat_description,Raw_counts,Gene_counted
SRR1853192,PRJNA276913,"(Kaniewska, Alon, et al. 2015)",2015,https://dx.doi.org/10.7554%2FeLife.09991,Acropora millepora,adult,light,not_done_yet,0730PM_Ambient_16/11/2011,16721174,9570065
SRR1853195,PRJNA276913,"(Kaniewska, Alon, et al. 2015)",2015,https://dx.doi.org/10.7554%2FeLife.09991,Acropora millepora,adult,light,not_done_yet,0730PM_Dark_16/11/2011,17701071,10264038
SRR1853198,PRJNA276913,"(Kaniewska, Alon, et al. 2015)",2015,https://dx.doi.org/10.7554%2FeLife.09991,Acropora millepora,adult,light,not_done_yet,0730PM_Light_16/11/2011,17848327,10441428
SRR1853201,PRJNA276913,"(Kaniewska, Alon, et al. 2015)",2015,https://dx.doi.org/10.7554%2FeLife.09991,Acropora millepora,adult,light,not_done_yet,0900PM_Ambient_16/11/2011,16978345,9872649
SRR1853204,PRJNA276913,"(Kaniewska, Alon, et al. 2015)",2015,https://dx.doi.org/10.7554%2FeLife.09991,Acropora millepora,adult,light,not_done_yet,1030PM_Ambient_16/11/2011,17386867,9907187
SRR1853208,PRJNA276913,"(Kaniewska, Alon, et al. 2015)",2015,https://dx.doi.org/10.7554%2FeLife.09991,Acropora millepora,adult,light,not_done_yet,1000PM_Dark_16/11/2011,17967712,10181276
SRR1853209,PRJNA276913,"(Kaniewska, Alon, et al. 2015)",2015,https://dx.doi.org/10.7554%2FeLife.09991,Acropora millepora,adult,light,not_done_yet,1000PM_Light_16/11/2011,17178450,9687246
SRR1853210,PRJNA276913,"(Kaniewska, Alon, et al. 2015)",2015,https://dx.doi.org/10.7554%2FeLife.09991,Acropora millepora,adult,light,not_done_yet,1000PM_Ambient_16/11/2011,16019652,8506030
SRR1853211,PRJNA276913,"(Kaniewska, Alon, et al. 2015)",2015,https://dx.doi.org/10.7554%2FeLife.09991,Acropora millepora,adult,light,not_done_yet,1220AM_Ambient_17/11/2011,14598256,8492020
SRR1853246,PRJNA276913,"(Kaniewska, Alon, et al. 2015)",2015,https://dx.doi.org/10.7554%2FeLife.09991,Acropora millepora,adult,light,not_done_yet,0900PM_Light_16/11/2011,13854134,6954512
SRR1853247,PRJNA276913,"(Kaniewska, Alon, et al. 2015)",2015,https://dx.doi.org/10.7554%2FeLife.09991,Acropora millepora,adult,light,not_done_yet,0900PM_Ambient_10/11/2011,16204811,8662898
SRR1853248,PRJNA276913,"(Kaniewska, Alon, et al. 2015)",2015,https://dx.doi.org/10.7554%2FeLife.09991,Acropora millepora,adult,light,not_done_yet,1200AM_Ambient_14/11/2011,16226384,9433306
