Run,BioProject,Reference,Reference_year,Reference_DOI,Organism,Developmental_stage,Project_type,Treatment,Treat_description,Raw_counts,Gene_counted
SRR3622513,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,AO263,473595,117430
SRR3622516,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,AO273,770792,162282
SRR3622519,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,AO301,820147,187856
SRR3622522,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,AO302,719120,141283
SRR3622526,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,AO303,228095,68641
SRR3622529,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,AO41,506120,133668
SRR3622532,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,AO42,301869,70500
SRR3622536,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,AO43,657922,163669
SRR3622539,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,AO52,600871,152668
SRR3622542,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,AO53,212925,51326
SRR3622546,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,AO71,448075,117121
SRR3622545,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,control,AC272,390063,99740
SRR3622549,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,AO72,610706,132461
SRR3622553,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,AO73,230686,64937
SRR3622555,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,AO91,168383,16029
SRR3622559,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,AO93,442299,10964
SRR3622578,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,control,AC273,768531,175927
SRR3622588,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,control,NC221,344541,94691
SRR3622592,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,control,NC222,417044,103845
SRR3622595,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,control,NC223,478894,124901
SRR3622598,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,control,NC261,782597,172692
SRR3622603,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,control,NC262,804944,185478
SRR3622606,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,control,NC263,876498,185461
SRR3622609,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,control,NC271,535132,141042
SRR3622612,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,control,AC301,807518,192081
SRR3622613,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,control,NC272,473868,126257
SRR3622616,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,control,NC273,514598,142857
SRR3622619,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,control,NC301,1075468,212596
SRR3622622,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,control,NC302,623262,144698
SRR3622626,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,control,NC303,1231831,248724
SRR3622629,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,control,NC41,832307,192887
SRR3622632,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,control,NC42,1027344,243523
SRR3622636,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,control,NC43,491336,131647
SRR3622639,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,control,NC51,913039,200165
SRR3622642,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,control,NC52,750856,173850
SRR3622645,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,control,AC302,504899,119022
SRR3622646,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,control,NC53,808700,175361
SRR3622649,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,control,NC71,422842,105545
SRR3622652,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,control,NC72,1387808,277557
SRR3622655,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,control,NC73,1209847,265687
SRR3622659,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,control,NC91,870980,197678
SRR3622662,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,control,NC92,467984,124767
SRR3622666,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,control,NC93,740275,177626
SRR3622669,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,ND261,528676,131129
SRR3622672,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,ND262,1002646,14726
SRR3622676,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,ND271,731778,117384
SRR3622678,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,control,AC303,469706,118796
SRR3622680,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,ND273,427968,113371
SRR3622682,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,ND301,662554,155703
SRR3622685,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,ND302,728902,175857
SRR3622688,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,ND303,773298,197236
SRR3622692,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,ND41,848619,189340
SRR3622695,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,ND42,250611,9688
SRR3622698,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,ND51,232926,30625
SRR3622702,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,ND52,430878,111138
SRR3622705,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,ND53,521044,119026
SRR3622708,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,ND71,423884,110936
SRR3622711,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,control,AC222,516953,139113
SRR3622712,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,control,AC41,673403,163270
SRR3622713,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,ND73,841540,180752
SRR3622717,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,ND91,619668,124369
SRR3622719,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,ND93,280972,18071
SRR3622722,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,NO221,596453,156230
SRR3622726,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,NO222,352126,97056
SRR3622729,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,NO261,1224531,279996
SRR3622732,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,NO262,559289,153182
SRR3622736,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,NO263,164109,47918
SRR3622739,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,NO271,586347,134090
SRR3622742,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,NO273,1474061,327875
SRR3622745,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,control,AC42,1161396,251440
SRR3622746,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,NO301,1015003,240890
SRR3622749,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,NO302,531856,122834
SRR3622752,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,NO303,530226,132383
SRR3622755,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,NO41,745414,176108
SRR3622771,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,NO42,1383393,270095
SRR3622774,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,NO43,490844,124704
SRR3622777,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,NO52,1226868,266078
SRR3622781,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,NO53,1105572,199145
SRR3622784,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,NO71,1241282,257265
SRR3622787,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,NO72,1037666,18051
SRR3622790,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,control,AC51,765319,180035
SRR3622791,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,NO73,509692,142939
SRR3622794,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,NO91,633740,146089
SRR3622797,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,NO92,1157137,232215
SRR3622800,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,NO93,223300,24203
SRR3622841,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,control,AC53,1060783,232810
SRR3622851,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,control,AC71,1130828,249168
SRR3622854,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,control,AC72,1517731,324244
SRR3622857,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,control,AC73,358719,94016
SRR3622861,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,control,AC91,252943,67483
SRR3622864,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,control,AC92,706008,10436
SRR3622867,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,control,AC93,1184492,15405
SRR3622870,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,control,AC223,528157,141394
SRR3622872,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,AD221,480387,110100
SRR3622874,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,AD222,435951,98225
SRR3622877,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,AD223,381213,95717
SRR3622880,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,AD261,579946,143625
SRR3622884,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,AD262,460544,67399
SRR3622887,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,AD271,672800,141460
SRR3622890,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,AD301,130956,36477
SRR3622894,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,AD302,496714,115913
SRR3622897,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,AD303,369494,84860
SRR3622900,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,AD51,487393,124136
SRR3622904,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,AD71,194294,55227
SRR3622907,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,AD72,328784,77919
SRR3622910,PRJNA319662,(Wright et al. 2017),2017,https://doi.org/10.1038/s41598-017-02685-1,Acropora millepora,adult,immune,challenge,AD73,702180,15104
DRR055155,PRJDB4579,(Yasuoka et al. 2016),2016,https://doi.org/10.1016/j.cub.2016.08.011,Acropora digitifera,embryo,development,not done yet,Adi_bra morphants,38622180,25613406
DRR055156,PRJDB4579,(Yasuoka et al. 2016),2016,https://doi.org/10.1016/j.cub.2016.08.011,Acropora digitifera,embryo,development,not done yet,uninjected controls of control morphants,34443522,23033107
DRR055157,PRJDB4579,(Yasuoka et al. 2016),2016,https://doi.org/10.1016/j.cub.2016.08.011,Acropora digitifera,embryo,development,not done yet,control morphants,38073709,25317742
DRR055154,PRJDB4579,(Yasuoka et al. 2016),2016,https://doi.org/10.1016/j.cub.2016.08.011,Acropora digitifera,embryo,development,not done yet,uninjected controls of Adi_bra morphants,44862257,29287346
SRR4029951,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH06,13126076,3193951
SRR4029952,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH06,9338409,2497635
SRR4029953,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH06,9732684,2677898
SRR4029954,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH06,10225778,2667616
SRR4029955,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH06,14181496,3795971
SRR4029956,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH06,5296466,1565544
SRR4029957,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH06,10694966,3025907
SRR4029958,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH06,11558640,3101012
SRR4029959,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH06,10456264,2927251
SRR4029960,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH75,9749920,2313716
SRR4029961,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH75,8268562,1734919
SRR4029962,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH75,9184161,2618088
SRR4029963,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH06,8330820,2563711
SRR4029964,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH75,12852344,3458395
SRR4029965,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH75,11223453,2908339
SRR4029966,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH75,10091992,3128807
SRR4029967,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH75,11800172,2728644
SRR4029968,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH75,11696646,2839098
SRR4029969,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH75,11133750,3005046
SRR4029970,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH75,9690375,2722302
SRR4029971,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH75,12910014,3163299
SRR4029972,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH75,11659544,2733350
SRR4029973,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH75,11509070,2900465
SRR4029974,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH06,7483857,1797861
SRR4029976,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH75,13861221,3718729
SRR4029977,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH75,10973268,2871994
SRR4029978,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH75,15745292,3473139
SRR4029979,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH88,10992469,2181397
SRR4029980,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH88,9871028,2298510
SRR4029981,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH88,11430244,3027607
SRR4029982,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH88,9554245,2625319
SRR4029983,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH88,9819601,2279321
SRR4029984,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH88,9522495,2349510
SRR4029985,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH06,13341121,3149310
SRR4029986,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH88,10425654,2312272
SRR4029987,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH88,10300750,2813132
SRR4029988,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH88,10219207,2726638
SRR4029989,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH88,11028183,2584004
SRR4029990,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH88,11822979,2563716
SRR4029991,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH88,11653533,2755795
SRR4029992,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH88,9384698,2513062
SRR4029993,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH88,9251507,2230732
SRR4029994,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH88,9577656,2512563
SRR4029995,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH88,9631784,2336942
SRR4029996,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH06,9006152,2711733
SRR4029997,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH88,8963392,1668960
SRR4029998,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH06,8918793,2278096
SRR4029999,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH06,9206749,2336669
SRR4030000,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH06,13188821,3331017
SRR4030001,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH06,11158934,3216200
SRR4029975,PRJNA338455,(Ruiz-Jones and Palumbi 2017),2017,https://doi.org/10.1126/sciadv.1601298,Acropora hyacinthus,adult,natural_variation,none,AH75,14855831,3304025
SRR5190737,PRJNA362652,(Kenkel et al. 2018),2018,https://doi.org/10.1111/gcb.13833,Acropora millepora,adult,pH_resilience,control,Upa-Upasina_control_9,6853451,999849
SRR5190738,PRJNA362652,(Kenkel et al. 2018),2018,https://doi.org/10.1111/gcb.13833,Acropora millepora,adult,pH_resilience,control,Upa-Upasina_control_8,9139400,1138985
SRR5190739,PRJNA362652,(Kenkel et al. 2018),2018,https://doi.org/10.1111/gcb.13833,Acropora millepora,adult,pH_resilience,control,Upa-Upasina_control_7,4444051,745546
SRR5190740,PRJNA362652,(Kenkel et al. 2018),2018,https://doi.org/10.1111/gcb.13833,Acropora millepora,adult,pH_resilience,control,Upa-Upasina_control_6,4280645,642576
