my_title,Run,my_stage,Organism,projType,treat,treatDescription,special,geneCounted,rawCounts,stress
J_weiss_immune_PRJNA200542,SRR835890,adult,Acropora millepora,immune,challenge,bacterial mimic,none,1748851,4277782,stressed
J_weiss_immune_PRJNA200542,SRR835892,adult,Acropora millepora,immune,challenge,viral mimic,none,493118,1100700,stressed
J_weiss_immune_PRJNA200542,SRR835893,adult,Acropora millepora,immune,challenge,viral mimic,none,1989490,5318211,stressed
J_weiss_immune_PRJNA200542,SRR835895,adult,Acropora millepora,immune,challenge,viral mimic,none,1110812,2700305,stressed
J_weiss_immune_PRJNA200542,SRR835896,adult,Acropora millepora,immune,challenge,viral mimic,none,685033,1580216,stressed
J_weiss_immune_PRJNA200542,SRR835894,adult,Acropora millepora,immune,challenge,viral mimic,none,1660610,4051739,stressed
L_Barshis_bleachResillience_PRJNA177515,SRR629090,adult,Acropora hyacinthus,temp,heat,01_h_HV,none,763126,19577661,stressed
L_Barshis_bleachResillience_PRJNA177515,SRR629091,adult,Acropora hyacinthus,temp,control,02_c_HV,none,1637079,18872907,control
L_Barshis_bleachResillience_PRJNA177515,SRR629092,adult,Acropora hyacinthus,temp,heat,02_h_HV,none,1074790,9457678,stressed
L_Barshis_bleachResillience_PRJNA177515,SRR629093,adult,Acropora hyacinthus,temp,control,03_c_HV,none,734261,13328694,control
L_Barshis_bleachResillience_PRJNA177515,SRR629094,adult,Acropora hyacinthus,temp,control,06_c_HV,none,993593,9146242,control
L_Barshis_bleachResillience_PRJNA177515,SRR629096,adult,Acropora hyacinthus,temp,control,09_c_HV,none,1145901,10464369,control
L_Barshis_bleachResillience_PRJNA177515,SRR629126,adult,Acropora hyacinthus,temp,heat,09_h_HV,none,622661,26399718,stressed
L_Barshis_bleachResillience_PRJNA177515,SRR629130,adult,Acropora hyacinthus,temp,heat,31_h_MV,none,757801,13561442,stressed
L_Barshis_bleachResillience_PRJNA177515,SRR629131,adult,Acropora hyacinthus,temp,control,40_c_MV,none,1299265,9235183,control
L_Barshis_bleachResillience_PRJNA177515,SRR629132,adult,Acropora hyacinthus,temp,heat,40_h_MV,none,963561,10573276,stressed
L_Barshis_bleachResillience_PRJNA177515,SRR629135,adult,Acropora hyacinthus,temp,control,45_c_MV,none,299455,5551198,control
L_Barshis_bleachResillience_PRJNA177515,SRR629150,adult,Acropora hyacinthus,temp,control,55_c_MV,none,1539927,17722284,control
