"Date Time, GMT+10:00","Temp, °C (LGR S/N: 20446386, SEN S/N: 20446386, LBL: tmp)","Intensity, lum/ft² (LGR S/N: 20446386, SEN S/N: 20446386, LBL: light)"
12/13/18 8:42,28.258,100
12/13/18 8:47,28.258,100
12/13/18 8:52,28.258,117
12/13/18 8:57,28.258,119
12/13/18 9:02,28.357,256
12/13/18 9:07,28.456,176
12/13/18 9:12,28.456,240
12/13/18 9:17,28.456,144
12/13/18 9:22,28.456,208
12/13/18 9:27,28.456,216
12/13/18 9:32,28.456,200
12/13/18 9:37,28.456,224
12/13/18 9:42,28.655,384
12/13/18 9:47,28.853,464
12/13/18 9:52,28.953,464
12/13/18 9:57,29.152,480
12/13/18 10:02,29.252,496
12/13/18 10:07,29.352,480
12/13/18 10:12,29.452,480
12/13/18 10:17,29.552,480
12/13/18 10:22,29.452,480
12/13/18 10:27,29.452,464
12/13/18 10:32,29.352,448
12/13/18 10:37,29.552,480
12/13/18 10:42,29.252,368
12/13/18 10:47,29.352,384
12/13/18 10:52,28.853,0
12/13/18 10:57,28.655,2
12/13/18 11:02,28.754,9
12/13/18 11:07,28.555,8
12/13/18 11:12,28.456,7
12/13/18 11:17,28.357,7
12/13/18 11:22,28.258,10
12/13/18 11:27,28.159,7
12/13/18 11:32,28.06,13
12/13/18 11:37,27.961,15
12/13/18 11:42,27.862,33
12/13/18 11:47,28.754,384
12/13/18 11:52,28.953,416
12/13/18 11:57,30.154,1152
12/13/18 12:02,30.356,1088
12/13/18 12:07,30.457,1024
12/13/18 12:12,30.659,1088
12/13/18 12:17,30.76,1024
12/13/18 12:22,30.963,1088
12/13/18 12:27,31.064,1024
12/13/18 12:32,31.166,1088
12/13/18 12:37,31.268,1088
12/13/18 12:42,31.37,1088
12/13/18 12:47,31.37,1152
12/13/18 12:52,31.472,1088
12/13/18 12:57,31.37,1024
12/13/18 13:02,31.37,1024
12/13/18 13:07,31.37,1024
12/13/18 13:12,31.37,992
12/13/18 13:17,31.37,1024
12/13/18 13:22,31.268,992
12/13/18 13:27,31.268,960
12/13/18 13:32,31.268,960
12/13/18 13:37,31.268,960
12/13/18 13:42,31.268,896
12/13/18 13:47,31.166,864
12/13/18 13:52,31.166,864
12/13/18 13:57,31.166,864
12/13/18 14:02,31.064,800
12/13/18 14:07,31.064,800
12/13/18 14:12,31.064,768
12/13/18 14:17,30.963,768
12/13/18 14:22,30.963,704
12/13/18 14:27,30.862,704
12/13/18 14:32,30.862,672
12/13/18 14:37,30.862,672
12/13/18 14:42,30.862,672
12/13/18 14:47,30.862,608
12/13/18 14:52,30.862,608
12/13/18 14:57,30.76,576
12/13/18 15:02,30.76,576
12/13/18 15:07,30.255,1
12/13/18 15:12,29.853,1
12/13/18 15:17,29.752,1
12/13/18 15:22,29.552,1
12/13/18 15:27,29.452,2
12/13/18 15:32,29.252,2
12/13/18 15:37,29.252,2
12/13/18 15:42,29.252,2
12/13/18 15:47,29.252,2
12/13/18 15:52,29.252,2
12/13/18 15:57,29.252,2
12/13/18 16:02,29.252,2
12/13/18 16:07,29.252,2
12/13/18 16:12,29.152,160
12/13/18 16:17,29.853,160
12/13/18 16:22,30.558,168
12/13/18 16:27,30.862,160
12/13/18 16:32,31.166,144
12/13/18 16:37,31.37,128
12/13/18 16:42,31.268,127
12/13/18 16:47,31.268,120
12/13/18 16:52,31.268,115
12/13/18 16:57,31.166,105
12/13/18 17:02,31.064,99
12/13/18 17:07,30.963,88
12/13/18 17:12,30.963,78
12/13/18 17:17,30.76,70
12/13/18 17:22,30.659,59
12/13/18 17:27,30.558,44
12/13/18 17:32,30.457,34
12/13/18 17:37,30.255,20
12/13/18 17:42,30.054,10
12/13/18 17:47,29.953,6
12/13/18 17:52,29.853,4
12/13/18 17:57,29.752,2
12/13/18 18:02,29.652,1
12/13/18 18:07,29.552,1
12/13/18 18:12,29.452,0
12/13/18 18:17,29.452,0
12/13/18 18:22,29.452,0
12/13/18 18:27,29.352,0
12/13/18 18:32,29.252,1
12/13/18 18:37,29.252,0
